CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.308594 1580695644.6694
MEM 12.062500 1580695644.7735
MEM 21.960938 1580695644.8787
MEM 31.824219 1580695644.9805
MEM 39.937500 1580695645.0810
MEM 47.027344 1580695645.1816
MEM 57.445312 1580695645.2825
MEM 64.691406 1580695645.3830
MEM 69.574219 1580695645.4841
MEM 71.050781 1580695645.5868
MEM 76.523438 1580695645.6920
MEM 80.449219 1580695645.7961
MEM 85.214844 1580695645.8964
MEM 90.050781 1580695645.9966
MEM 95.390625 1580695646.0969
MEM 99.734375 1580695646.1976
MEM 102.292969 1580695646.2980
MEM 135.386719 1580695646.4029
MEM 126.722656 1580695646.5070
MEM 147.445312 1580695646.6086
MEM 163.019531 1580695646.7094
MEM 150.687500 1580695646.8112
MEM 152.769531 1580695646.9164
MEM 145.902344 1580695647.0190
MEM 145.968750 1580695647.1234
MEM 135.386719 1580695647.2286
MEM 135.507812 1580695647.3337
MEM 135.765625 1580695647.4387
MEM 136.148438 1580695647.5433
MEM 136.410156 1580695647.6485
MEM 136.648438 1580695647.7501
MEM 136.902344 1580695647.8536
MEM 137.175781 1580695647.9569
MEM 137.445312 1580695648.0620
MEM 137.738281 1580695648.1671
MEM 138.636719 1580695648.2723
MEM 138.933594 1580695648.3734
MEM 139.210938 1580695648.4785
MEM 139.464844 1580695648.5788
MEM 139.722656 1580695648.6840
MEM 139.984375 1580695648.7862
MEM 140.250000 1580695648.8915
MEM 140.449219 1580695648.9920
MEM 140.652344 1580695649.0972
MEM 141.335938 1580695649.2023
MEM 141.609375 1580695649.3075
MEM 141.824219 1580695649.4098
MEM 172.312500 1580695649.5119
MEM 177.390625 1580695649.6171
MEM 145.328125 1580695649.7223
MEM 153.480469 1580695649.8226
MEM 159.910156 1580695649.9228
MEM 131.066406 1580695650.0281
MEM 128.289062 1580695650.1308
MEM 128.320312 1580695650.2360
MEM 128.367188 1580695650.3363
MEM 128.386719 1580695650.4415
MEM 128.417969 1580695650.5467
MEM 128.449219 1580695650.6519
MEM 141.914062 1580695650.7523
MEM 144.058594 1580695650.8570
MEM 139.558594 1580695650.9622
MEM 126.753906 1580695651.0674
MEM 138.011719 1580695651.1720
MEM 141.703125 1580695651.2773
MEM 149.257812 1580695651.3808
MEM 125.285156 1580695651.4811
MEM 125.847656 1580695651.5861
MEM 127.140625 1580695651.6864
MEM 128.714844 1580695651.7904
MEM 130.328125 1580695651.8906
MEM 131.863281 1580695651.9940
MEM 133.316406 1580695652.0951
MEM 134.875000 1580695652.1994
MEM 134.972656 1580695652.3046
MEM 140.722656 1580695652.4071
MEM 146.628906 1580695652.5100
MEM 151.519531 1580695652.6153
MEM 155.402344 1580695652.7205
MEM 161.605469 1580695652.8235
MEM 167.667969 1580695652.9287
MEM 169.664062 1580695653.0339
MEM 173.664062 1580695653.1391
MEM 179.117188 1580695653.2443
MEM 185.101562 1580695653.3496
MEM 188.320312 1580695653.4548
MEM 196.171875 1580695653.5572
MEM 208.968750 1580695653.6621
MEM 209.914062 1580695653.7663
MEM 210.027344 1580695653.8715
MEM 210.148438 1580695653.9736
MEM 210.222656 1580695654.0748
MEM 210.359375 1580695654.1800
MEM 210.484375 1580695654.2838
MEM 210.636719 1580695654.3890
MEM 210.820312 1580695654.4941
MEM 210.953125 1580695654.5993
MEM 211.066406 1580695654.7045
MEM 211.171875 1580695654.8097
MEM 211.273438 1580695654.9139
MEM 211.371094 1580695655.0153
MEM 211.578125 1580695655.1205
MEM 211.632812 1580695655.2258
MEM 211.750000 1580695655.3309
MEM 211.878906 1580695655.4361
MEM 211.972656 1580695655.5413
MEM 212.054688 1580695655.6428
MEM 212.156250 1580695655.7479
MEM 212.246094 1580695655.8487
MEM 212.363281 1580695655.9505
MEM 212.429688 1580695656.0557
MEM 212.535156 1580695656.1608
MEM 212.636719 1580695656.2660
MEM 212.726562 1580695656.3711
MEM 212.843750 1580695656.4763
MEM 213.011719 1580695656.5814
MEM 213.136719 1580695656.6866
MEM 213.234375 1580695656.7918
MEM 213.359375 1580695656.8924
MEM 213.464844 1580695656.9938
MEM 213.593750 1580695657.0944
MEM 213.730469 1580695657.1954
MEM 213.839844 1580695657.2965
MEM 213.949219 1580695657.3975
MEM 214.054688 1580695657.5026
MEM 214.156250 1580695657.6078
MEM 214.273438 1580695657.7129
MEM 214.355469 1580695657.8181
MEM 214.429688 1580695657.9233
MEM 214.503906 1580695658.0235
MEM 214.593750 1580695658.1287
MEM 214.710938 1580695658.2336
MEM 214.851562 1580695658.3388
MEM 214.957031 1580695658.4439
MEM 215.062500 1580695658.5443
MEM 215.152344 1580695658.6495
MEM 215.253906 1580695658.7547
MEM 215.335938 1580695658.8598
MEM 215.546875 1580695658.9639
MEM 215.644531 1580695659.0691
MEM 215.722656 1580695659.1742
MEM 216.078125 1580695659.2795
MEM 216.265625 1580695659.3847
MEM 216.421875 1580695659.4898
MEM 216.546875 1580695659.5942
MEM 216.726562 1580695659.6993
MEM 216.832031 1580695659.8029
MEM 216.914062 1580695659.9073
MEM 217.042969 1580695660.0125
MEM 217.246094 1580695660.1176
MEM 217.406250 1580695660.2228
MEM 217.535156 1580695660.3235
MEM 217.644531 1580695660.4287
MEM 217.769531 1580695660.5290
MEM 217.976562 1580695660.6342
MEM 218.160156 1580695660.7393
MEM 218.328125 1580695660.8446
MEM 218.671875 1580695660.9499
MEM 219.160156 1580695661.0550
MEM 219.417969 1580695661.1571
MEM 219.597656 1580695661.2623
MEM 219.761719 1580695661.3674
MEM 219.906250 1580695661.4678
MEM 220.195312 1580695661.5720
MEM 220.441406 1580695661.6737
MEM 220.808594 1580695661.7770
MEM 221.554688 1580695661.8799
MEM 221.921875 1580695661.9851
MEM 222.285156 1580695662.0903
MEM 222.808594 1580695662.1954
MEM 223.535156 1580695662.3006
MEM 224.480469 1580695662.4050
MEM 225.027344 1580695662.5102
