CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.316406 1567034118.5366
MEM 13.902344 1567034118.6374
MEM 23.000000 1567034118.7382
MEM 33.476562 1567034118.8408
MEM 44.589844 1567034118.9412
MEM 50.339844 1567034119.0434
MEM 54.304688 1567034119.1477
MEM 58.449219 1567034119.2482
MEM 64.421875 1567034119.3485
MEM 72.398438 1567034119.4486
MEM 77.363281 1567034119.5516
MEM 81.894531 1567034119.6518
MEM 113.011719 1567034119.7531
MEM 117.925781 1567034119.8583
MEM 130.039062 1567034119.9620
MEM 133.125000 1567034120.0643
MEM 131.277344 1567034120.1695
MEM 131.390625 1567034120.2706
MEM 140.945312 1567034120.3748
MEM 121.113281 1567034120.4757
MEM 121.199219 1567034120.5783
MEM 121.277344 1567034120.6789
MEM 117.132812 1567034120.7811
MEM 117.546875 1567034120.8832
MEM 117.835938 1567034120.9845
MEM 118.125000 1567034121.0850
MEM 118.457031 1567034121.1885
MEM 118.757812 1567034121.2910
MEM 119.015625 1567034121.3962
MEM 119.421875 1567034121.4965
MEM 119.683594 1567034121.5983
MEM 119.945312 1567034121.7011
MEM 120.210938 1567034121.8033
MEM 120.593750 1567034121.9084
MEM 121.488281 1567034122.0127
MEM 122.464844 1567034122.1152
MEM 123.445312 1567034122.2195
MEM 123.738281 1567034122.3217
MEM 124.886719 1567034122.4269
MEM 125.207031 1567034122.5272
MEM 126.281250 1567034122.6284
MEM 126.531250 1567034122.7306
MEM 126.847656 1567034122.8349
MEM 128.164062 1567034122.9354
MEM 128.460938 1567034123.0368
MEM 128.812500 1567034123.1378
MEM 130.257812 1567034123.2402
MEM 130.644531 1567034123.3453
MEM 132.128906 1567034123.4493
MEM 132.507812 1567034123.5533
MEM 132.945312 1567034123.6585
MEM 133.253906 1567034123.7607
MEM 135.019531 1567034123.8613
MEM 135.355469 1567034123.9644
MEM 135.726562 1567034124.0659
MEM 137.546875 1567034124.1675
MEM 137.882812 1567034124.2719
MEM 138.210938 1567034124.3724
MEM 138.500000 1567034124.4775
MEM 138.851562 1567034124.5786
MEM 140.917969 1567034124.6819
MEM 141.148438 1567034124.7871
MEM 141.496094 1567034124.8922
MEM 141.835938 1567034124.9938
MEM 144.027344 1567034125.0983
MEM 144.363281 1567034125.2034
MEM 144.734375 1567034125.3084
MEM 145.023438 1567034125.4136
MEM 145.343750 1567034125.5157
MEM 145.613281 1567034125.6192
MEM 145.761719 1567034125.7233
MEM 146.042969 1567034125.8284
MEM 146.375000 1567034125.9322
MEM 146.773438 1567034126.0347
MEM 147.175781 1567034126.1381
MEM 147.031250 1567034126.2433
MEM 147.042969 1567034126.3464
MEM 147.363281 1567034126.4498
MEM 147.765625 1567034126.5535
MEM 148.152344 1567034126.6587
MEM 148.527344 1567034126.7636
MEM 148.859375 1567034126.8680
MEM 149.191406 1567034126.9731
MEM 149.492188 1567034127.0768
MEM 149.734375 1567034127.1820
MEM 150.148438 1567034127.2869
MEM 150.402344 1567034127.3920
MEM 180.121094 1567034127.4935
MEM 214.441406 1567034127.5987
MEM 239.667969 1567034127.7039
MEM 244.988281 1567034127.8041
MEM 258.179688 1567034127.9093
MEM 258.179688 1567034128.0145
MEM 258.179688 1567034128.1197
MEM 258.179688 1567034128.2209
MEM 249.089844 1567034128.3260
MEM 137.250000 1567034128.4289
MEM 145.261719 1567034128.5298
MEM 153.273438 1567034128.6350
MEM 153.273438 1567034128.7378
MEM 153.273438 1567034128.8413
MEM 153.273438 1567034128.9446
MEM 153.273438 1567034129.0498
MEM 153.273438 1567034129.1527
MEM 153.273438 1567034129.2579
MEM 153.316406 1567034129.3631
MEM 116.992188 1567034129.4679
MEM 118.953125 1567034129.5730
MEM 118.960938 1567034129.6742
MEM 119.089844 1567034129.7748
MEM 119.121094 1567034129.8787
MEM 119.195312 1567034129.9800
MEM 119.261719 1567034130.0812
MEM 119.296875 1567034130.1863
MEM 119.343750 1567034130.2878
MEM 119.375000 1567034130.3889
MEM 119.394531 1567034130.4941
MEM 119.445312 1567034130.5982
MEM 119.488281 1567034130.6986
MEM 116.027344 1567034130.8005
MEM 118.785156 1567034130.9057
MEM 145.941406 1567034131.0062
MEM 174.593750 1567034131.1088
MEM 186.800781 1567034131.2140
MEM 190.832031 1567034131.3156
MEM 216.347656 1567034131.4167
MEM 249.824219 1567034131.5219
MEM 243.437500 1567034131.6265
MEM 200.937500 1567034131.7297
MEM 200.937500 1567034131.8349
MEM 216.640625 1567034131.9401
MEM 240.308594 1567034132.0453
MEM 148.277344 1567034132.1497
MEM 177.285156 1567034132.2515
MEM 199.730469 1567034132.3553
MEM 199.730469 1567034132.4605
MEM 199.730469 1567034132.5617
MEM 218.906250 1567034132.6629
MEM 252.156250 1567034132.7660
MEM 252.773438 1567034132.8702
MEM 207.523438 1567034132.9726
MEM 207.523438 1567034133.0747
MEM 237.855469 1567034133.1749
MEM 265.445312 1567034133.2801
MEM 168.062500 1567034133.3853
MEM 147.867188 1567034133.4856
MEM 147.843750 1567034133.5876
MEM 149.812500 1567034133.6878
MEM 152.152344 1567034133.7929
MEM 154.453125 1567034133.8978
MEM 156.664062 1567034134.0010
MEM 158.941406 1567034134.1044
MEM 161.171875 1567034134.2056
MEM 163.355469 1567034134.3088
MEM 165.453125 1567034134.4117
MEM 156.984375 1567034134.5141
MEM 157.179688 1567034134.6180
MEM 157.558594 1567034134.7209
MEM 157.859375 1567034134.8243
MEM 158.140625 1567034134.9253
MEM 158.406250 1567034135.0263
MEM 158.785156 1567034135.1315
MEM 159.144531 1567034135.2366
MEM 159.531250 1567034135.3418
MEM 159.898438 1567034135.4467
MEM 160.257812 1567034135.5517
MEM 160.582031 1567034135.6534
MEM 160.898438 1567034135.7586
MEM 161.203125 1567034135.8617
MEM 161.500000 1567034135.9642
MEM 161.789062 1567034136.0690
MEM 162.078125 1567034136.1724
MEM 162.378906 1567034136.2773
MEM 162.652344 1567034136.3824
MEM 162.960938 1567034136.4870
MEM 163.269531 1567034136.5879
MEM 163.578125 1567034136.6911
MEM 163.906250 1567034136.7921
MEM 164.183594 1567034136.8944
MEM 164.484375 1567034136.9967
MEM 164.785156 1567034137.1002
MEM 165.074219 1567034137.2053
MEM 165.398438 1567034137.3091
MEM 165.722656 1567034137.4117
MEM 166.007812 1567034137.5166
MEM 166.343750 1567034137.6180
MEM 166.656250 1567034137.7184
MEM 166.980469 1567034137.8235
MEM 167.300781 1567034137.9252
MEM 167.656250 1567034138.0279
MEM 167.949219 1567034138.1284
MEM 168.292969 1567034138.2321
MEM 168.652344 1567034138.3328
MEM 168.964844 1567034138.4361
MEM 169.292969 1567034138.5398
MEM 169.582031 1567034138.6449
MEM 169.871094 1567034138.7500
MEM 170.175781 1567034138.8502
MEM 170.437500 1567034138.9539
MEM 170.765625 1567034139.0580
MEM 171.097656 1567034139.1618
MEM 171.421875 1567034139.2669
MEM 171.750000 1567034139.3679
MEM 172.019531 1567034139.4722
MEM 172.425781 1567034139.5764
MEM 172.781250 1567034139.6815
MEM 173.121094 1567034139.7853
MEM 173.460938 1567034139.8883
MEM 173.812500 1567034139.9916
MEM 174.074219 1567034140.0948
MEM 174.496094 1567034140.1962
MEM 174.859375 1567034140.2974
MEM 175.199219 1567034140.3994
MEM 175.535156 1567034140.5045
MEM 175.906250 1567034140.6096
MEM 176.257812 1567034140.7147
MEM 176.515625 1567034140.8151
MEM 176.859375 1567034140.9189
MEM 177.238281 1567034141.0218
MEM 177.585938 1567034141.1269
MEM 177.878906 1567034141.2320
MEM 178.195312 1567034141.3356
MEM 178.488281 1567034141.4407
MEM 178.796875 1567034141.5459
MEM 179.250000 1567034141.6500
MEM 179.617188 1567034141.7551
MEM 179.851562 1567034141.8554
MEM 180.179688 1567034141.9589
MEM 180.441406 1567034142.0618
MEM 180.769531 1567034142.1646
MEM 181.082031 1567034142.2697
MEM 181.437500 1567034142.3728
MEM 181.761719 1567034142.4765
MEM 181.898438 1567034142.5776
MEM 182.082031 1567034142.6814
MEM 182.378906 1567034142.7846
MEM 182.750000 1567034142.8897
MEM 183.035156 1567034142.9899
MEM 183.386719 1567034143.0910
MEM 183.636719 1567034143.1962
MEM 183.996094 1567034143.2983
MEM 184.253906 1567034143.3988
MEM 184.550781 1567034143.5039
MEM 184.683594 1567034143.6042
MEM 184.960938 1567034143.7059
MEM 185.316406 1567034143.8088
MEM 185.667969 1567034143.9129
MEM 185.960938 1567034144.0133
MEM 186.253906 1567034144.1176
MEM 186.566406 1567034144.2216
MEM 186.921875 1567034144.3231
MEM 187.257812 1567034144.4242
MEM 187.593750 1567034144.5255
MEM 187.937500 1567034144.6306
MEM 182.277344 1567034144.7335
MEM 182.601562 1567034144.8352
MEM 182.949219 1567034144.9371
MEM 183.246094 1567034145.0381
MEM 183.542969 1567034145.1432
MEM 183.882812 1567034145.2447
MEM 184.160156 1567034145.3453
MEM 184.429688 1567034145.4505
MEM 184.757812 1567034145.5520
MEM 185.054688 1567034145.6571
MEM 185.339844 1567034145.7593
MEM 185.703125 1567034145.8619
MEM 186.011719 1567034145.9662
MEM 186.300781 1567034146.0665
MEM 186.640625 1567034146.1701
MEM 186.945312 1567034146.2745
MEM 187.285156 1567034146.3746
MEM 187.601562 1567034146.4748
MEM 187.933594 1567034146.5800
MEM 188.281250 1567034146.6839
MEM 188.640625 1567034146.7871
MEM 189.000000 1567034146.8899
MEM 189.375000 1567034146.9951
MEM 189.691406 1567034147.1002
MEM 189.992188 1567034147.2030
MEM 190.320312 1567034147.3032
MEM 190.628906 1567034147.4071
MEM 191.000000 1567034147.5119
MEM 191.359375 1567034147.6138
MEM 191.671875 1567034147.7160
MEM 191.980469 1567034147.8182
MEM 192.316406 1567034147.9219
MEM 192.667969 1567034148.0266
MEM 192.960938 1567034148.1293
MEM 193.257812 1567034148.2344
