CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.308594 1580695730.6629
MEM 14.859375 1580695730.7635
MEM 26.734375 1580695730.8671
MEM 39.191406 1580695730.9680
MEM 49.960938 1580695731.0696
MEM 64.503906 1580695731.1748
MEM 71.148438 1580695731.2756
MEM 81.566406 1580695731.3784
MEM 95.742188 1580695731.4836
MEM 107.113281 1580695731.5889
MEM 136.179688 1580695731.6941
MEM 145.035156 1580695731.7970
MEM 173.875000 1580695731.9013
MEM 150.949219 1580695732.0065
MEM 153.003906 1580695732.1105
MEM 146.148438 1580695732.2157
MEM 146.203125 1580695732.3209
MEM 135.648438 1580695732.4220
MEM 135.769531 1580695732.5255
MEM 136.042969 1580695732.6264
MEM 136.425781 1580695732.7277
MEM 136.683594 1580695732.8294
MEM 136.949219 1580695732.9305
MEM 137.199219 1580695733.0348
MEM 137.425781 1580695733.1382
MEM 137.695312 1580695733.2396
MEM 137.933594 1580695733.3420
MEM 138.355469 1580695733.4442
MEM 139.027344 1580695733.5486
MEM 139.289062 1580695733.6531
MEM 139.558594 1580695733.7582
MEM 139.800781 1580695733.8631
MEM 140.023438 1580695733.9657
MEM 140.246094 1580695734.0675
MEM 140.441406 1580695734.1727
MEM 140.667969 1580695734.2758
MEM 140.906250 1580695734.3788
MEM 141.113281 1580695734.4790
MEM 169.574219 1580695734.5840
MEM 174.105469 1580695734.6853
MEM 147.136719 1580695734.7892
MEM 155.703125 1580695734.8937
MEM 158.699219 1580695734.9940
MEM 128.417969 1580695735.0949
MEM 128.441406 1580695735.1954
MEM 128.441406 1580695735.2959
MEM 128.457031 1580695735.4005
MEM 128.484375 1580695735.5028
MEM 128.511719 1580695735.6038
MEM 128.527344 1580695735.7040
MEM 128.542969 1580695735.8051
MEM 135.769531 1580695735.9057
MEM 140.542969 1580695736.0064
MEM 137.769531 1580695736.1087
MEM 142.566406 1580695736.2127
MEM 136.445312 1580695736.3131
MEM 147.644531 1580695736.4133
MEM 139.984375 1580695736.5136
MEM 124.656250 1580695736.6141
MEM 125.089844 1580695736.7193
MEM 125.500000 1580695736.8195
MEM 126.812500 1580695736.9244
MEM 128.082031 1580695737.0271
MEM 129.542969 1580695737.1313
MEM 130.882812 1580695737.2315
MEM 132.261719 1580695737.3317
MEM 133.617188 1580695737.4353
MEM 133.234375 1580695737.5371
MEM 138.050781 1580695737.6374
MEM 141.417969 1580695737.7386
MEM 145.679688 1580695737.8390
MEM 150.718750 1580695737.9392
MEM 155.605469 1580695738.0395
MEM 160.226562 1580695738.1399
MEM 162.484375 1580695738.2406
MEM 167.351562 1580695738.3458
MEM 171.308594 1580695738.4465
MEM 175.753906 1580695738.5476
MEM 178.328125 1580695738.6480
MEM 182.855469 1580695738.7486
MEM 191.550781 1580695738.8493
MEM 198.617188 1580695738.9544
MEM 202.675781 1580695739.0548
MEM 202.796875 1580695739.1600
MEM 202.921875 1580695739.2631
MEM 203.003906 1580695739.3658
MEM 203.109375 1580695739.4704
MEM 203.226562 1580695739.5706
MEM 203.335938 1580695739.6728
MEM 203.433594 1580695739.7780
MEM 203.523438 1580695739.8790
MEM 203.628906 1580695739.9797
MEM 203.738281 1580695740.0808
MEM 203.882812 1580695740.1846
MEM 204.000000 1580695740.2852
MEM 204.113281 1580695740.3898
MEM 204.234375 1580695740.4940
MEM 204.347656 1580695740.5964
MEM 204.437500 1580695740.6971
MEM 204.539062 1580695740.7983
MEM 204.718750 1580695740.8995
MEM 204.812500 1580695741.0018
MEM 204.917969 1580695741.1061
MEM 205.035156 1580695741.2073
MEM 205.136719 1580695741.3124
MEM 205.257812 1580695741.4140
MEM 205.343750 1580695741.5143
MEM 205.437500 1580695741.6156
MEM 205.550781 1580695741.7208
MEM 205.628906 1580695741.8258
MEM 205.699219 1580695741.9261
MEM 205.796875 1580695742.0294
MEM 205.894531 1580695742.1308
MEM 205.988281 1580695742.2329
MEM 206.082031 1580695742.3372
MEM 206.171875 1580695742.4391
MEM 206.257812 1580695742.5423
MEM 206.363281 1580695742.6465
MEM 206.460938 1580695742.7506
MEM 206.566406 1580695742.8537
MEM 206.667969 1580695742.9551
MEM 206.781250 1580695743.0560
MEM 206.871094 1580695743.1564
MEM 207.046875 1580695743.2567
MEM 207.132812 1580695743.3569
MEM 207.246094 1580695743.4575
MEM 207.359375 1580695743.5626
MEM 207.480469 1580695743.6628
MEM 207.570312 1580695743.7631
MEM 207.718750 1580695743.8647
MEM 207.914062 1580695743.9683
MEM 208.230469 1580695744.0704
MEM 208.460938 1580695744.1713
MEM 208.628906 1580695744.2737
MEM 208.769531 1580695744.3765
MEM 208.898438 1580695744.4798
MEM 209.007812 1580695744.5808
MEM 209.132812 1580695744.6858
MEM 209.261719 1580695744.7862
MEM 209.359375 1580695744.8864
MEM 209.464844 1580695744.9885
MEM 209.566406 1580695745.0893
MEM 209.695312 1580695745.1896
MEM 209.828125 1580695745.2899
MEM 209.992188 1580695745.3900
MEM 210.234375 1580695745.4903
MEM 210.753906 1580695745.5904
MEM 211.105469 1580695745.6917
