CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.312500 1567033687.7783
MEM 12.390625 1567033687.8819
MEM 21.636719 1567033687.9831
MEM 26.082031 1567033688.0833
MEM 32.625000 1567033688.1874
MEM 43.312500 1567033688.2922
MEM 46.984375 1567033688.3934
MEM 51.683594 1567033688.4951
MEM 54.585938 1567033688.5953
MEM 58.121094 1567033688.6983
MEM 61.089844 1567033688.7986
MEM 66.851562 1567033688.8991
MEM 73.957031 1567033689.0023
MEM 78.191406 1567033689.1041
MEM 99.144531 1567033689.2075
MEM 106.867188 1567033689.3086
MEM 119.539062 1567033689.4097
MEM 128.578125 1567033689.5111
MEM 131.011719 1567033689.6113
MEM 131.191406 1567033689.7165
MEM 131.277344 1567033689.8217
MEM 140.687500 1567033689.9266
MEM 120.996094 1567033690.0280
MEM 121.035156 1567033690.1287
MEM 121.070312 1567033690.2292
MEM 116.957031 1567033690.3300
MEM 117.324219 1567033690.4352
MEM 117.652344 1567033690.5367
MEM 117.925781 1567033690.6374
MEM 118.265625 1567033690.7377
MEM 118.625000 1567033690.8389
MEM 118.886719 1567033690.9441
MEM 119.226562 1567033691.0479
MEM 119.535156 1567033691.1529
MEM 119.734375 1567033691.2532
MEM 120.070312 1567033691.3555
MEM 120.929688 1567033691.4568
MEM 121.867188 1567033691.5615
MEM 122.199219 1567033691.6667
MEM 123.148438 1567033691.7712
MEM 123.523438 1567033691.8737
MEM 124.613281 1567033691.9742
MEM 124.933594 1567033692.0794
MEM 126.074219 1567033692.1815
MEM 126.394531 1567033692.2833
MEM 126.718750 1567033692.3863
MEM 128.050781 1567033692.4899
MEM 128.359375 1567033692.5938
MEM 129.589844 1567033692.6961
MEM 130.039062 1567033692.7998
MEM 130.312500 1567033692.9009
MEM 131.738281 1567033693.0043
MEM 132.121094 1567033693.1052
MEM 132.433594 1567033693.2060
MEM 132.691406 1567033693.3088
MEM 134.425781 1567033693.4099
MEM 134.726562 1567033693.5132
MEM 135.015625 1567033693.6178
MEM 136.886719 1567033693.7181
MEM 137.207031 1567033693.8233
MEM 137.503906 1567033693.9276
MEM 137.804688 1567033694.0326
MEM 138.058594 1567033694.1329
MEM 140.019531 1567033694.2372
MEM 140.363281 1567033694.3411
MEM 140.753906 1567033694.4429
MEM 141.093750 1567033694.5479
MEM 141.378906 1567033694.6500
MEM 143.511719 1567033694.7531
MEM 143.847656 1567033694.8566
MEM 144.183594 1567033694.9592
MEM 144.582031 1567033695.0638
MEM 144.984375 1567033695.1687
MEM 145.269531 1567033695.2698
MEM 145.441406 1567033695.3700
MEM 145.714844 1567033695.4747
MEM 146.058594 1567033695.5780
MEM 146.453125 1567033695.6804
MEM 146.769531 1567033695.7832
MEM 146.585938 1567033695.8883
MEM 146.542969 1567033695.9934
MEM 146.824219 1567033696.0985
MEM 147.156250 1567033696.2001
MEM 147.539062 1567033696.3004
MEM 147.863281 1567033696.4055
MEM 147.300781 1567033696.5106
MEM 147.656250 1567033696.6157
MEM 147.972656 1567033696.7179
MEM 148.316406 1567033696.8231
MEM 151.699219 1567033696.9234
MEM 185.187500 1567033697.0282
MEM 219.214844 1567033697.1299
MEM 234.199219 1567033697.2351
MEM 242.894531 1567033697.3401
MEM 252.007812 1567033697.4416
MEM 252.007812 1567033697.5453
MEM 252.007812 1567033697.6505
MEM 252.007812 1567033697.7531
MEM 183.894531 1567033697.8569
MEM 144.687500 1567033697.9580
MEM 148.824219 1567033698.0630
MEM 152.703125 1567033698.1682
MEM 152.703125 1567033698.2701
MEM 152.703125 1567033698.3726
MEM 152.703125 1567033698.4773
MEM 152.703125 1567033698.5821
MEM 152.703125 1567033698.6856
MEM 152.703125 1567033698.7891
MEM 116.343750 1567033698.8921
MEM 116.687500 1567033698.9957
MEM 118.593750 1567033699.0995
MEM 118.671875 1567033699.2040
MEM 118.742188 1567033699.3044
MEM 118.769531 1567033699.4096
MEM 118.804688 1567033699.5124
MEM 118.832031 1567033699.6145
MEM 118.878906 1567033699.7174
MEM 118.921875 1567033699.8216
MEM 118.945312 1567033699.9239
MEM 118.988281 1567033700.0242
MEM 119.027344 1567033700.1282
MEM 119.070312 1567033700.2305
MEM 133.292969 1567033700.3329
MEM 130.398438 1567033700.4340
MEM 159.406250 1567033700.5377
MEM 173.445312 1567033700.6402
MEM 183.464844 1567033700.7419
MEM 207.355469 1567033700.8460
MEM 227.093750 1567033700.9501
MEM 252.066406 1567033701.0554
MEM 196.882812 1567033701.1595
MEM 196.882812 1567033701.2647
MEM 216.257812 1567033701.3675
MEM 241.546875 1567033701.4716
MEM 153.050781 1567033701.5758
MEM 169.699219 1567033701.6770
MEM 195.613281 1567033701.7822
MEM 195.621094 1567033701.8831
MEM 200.011719 1567033701.9872
MEM 225.617188 1567033702.0877
MEM 250.589844 1567033702.1902
MEM 203.257812 1567033702.2954
MEM 203.257812 1567033702.3957
MEM 203.257812 1567033702.4969
MEM 233.968750 1567033702.5976
MEM 257.050781 1567033702.7028
MEM 145.320312 1567033702.8072
MEM 145.082031 1567033702.9078
MEM 147.070312 1567033703.0122
MEM 149.285156 1567033703.1138
MEM 151.601562 1567033703.2189
MEM 153.714844 1567033703.3241
MEM 156.003906 1567033703.4279
MEM 158.308594 1567033703.5332
MEM 160.472656 1567033703.6334
MEM 162.679688 1567033703.7337
MEM 154.781250 1567033703.8371
MEM 154.984375 1567033703.9423
MEM 155.371094 1567033704.0475
MEM 155.855469 1567033704.1506
MEM 156.242188 1567033704.2557
MEM 156.640625 1567033704.3609
MEM 157.019531 1567033704.4643
MEM 157.332031 1567033704.5691
MEM 157.691406 1567033704.6735
MEM 158.113281 1567033704.7786
MEM 158.515625 1567033704.8838
MEM 158.933594 1567033704.9888
MEM 159.375000 1567033705.0898
MEM 159.468750 1567033705.1927
MEM 159.886719 1567033705.2950
MEM 160.265625 1567033705.3984
MEM 160.644531 1567033705.5005
MEM 161.031250 1567033705.6021
MEM 161.402344 1567033705.7024
MEM 161.769531 1567033705.8056
MEM 162.125000 1567033705.9068
MEM 162.476562 1567033706.0110
MEM 162.832031 1567033706.1138
MEM 163.187500 1567033706.2161
MEM 163.578125 1567033706.3210
MEM 163.957031 1567033706.4224
MEM 164.332031 1567033706.5275
MEM 164.710938 1567033706.6315
MEM 165.082031 1567033706.7367
MEM 165.429688 1567033706.8383
MEM 165.750000 1567033706.9389
MEM 166.121094 1567033707.0440
MEM 166.500000 1567033707.1482
MEM 166.906250 1567033707.2534
MEM 167.289062 1567033707.3560
MEM 167.722656 1567033707.4591
MEM 168.085938 1567033707.5608
MEM 168.531250 1567033707.6659
MEM 168.917969 1567033707.7664
MEM 169.203125 1567033707.8667
MEM 169.578125 1567033707.9701
MEM 169.933594 1567033708.0715
MEM 170.304688 1567033708.1763
MEM 170.695312 1567033708.2815
MEM 171.042969 1567033708.3863
MEM 171.406250 1567033708.4888
MEM 171.765625 1567033708.5939
MEM 172.269531 1567033708.6982
MEM 172.601562 1567033708.8034
MEM 172.992188 1567033708.9053
MEM 173.417969 1567033709.0091
MEM 173.792969 1567033709.1115
MEM 174.214844 1567033709.2163
MEM 174.632812 1567033709.3192
MEM 174.960938 1567033709.4214
MEM 175.281250 1567033709.5230
MEM 175.687500 1567033709.6281
MEM 176.011719 1567033709.7284
MEM 176.367188 1567033709.8286
MEM 176.753906 1567033709.9288
MEM 177.171875 1567033710.0339
MEM 177.554688 1567033710.1379
MEM 177.710938 1567033710.2399
MEM 178.136719 1567033710.3443
MEM 178.527344 1567033710.4457
MEM 178.925781 1567033710.5504
MEM 179.335938 1567033710.6533
MEM 179.742188 1567033710.7581
MEM 180.167969 1567033710.8633
MEM 180.531250 1567033710.9643
MEM 180.921875 1567033711.0694
MEM 181.320312 1567033711.1745
MEM 181.691406 1567033711.2778
MEM 182.062500 1567033711.3798
MEM 182.449219 1567033711.4830
MEM 182.988281 1567033711.5879
MEM 183.386719 1567033711.6921
MEM 183.777344 1567033711.7944
MEM 184.136719 1567033711.8991
MEM 184.500000 1567033712.0020
MEM 184.843750 1567033712.1031
MEM 185.246094 1567033712.2061
MEM 185.628906 1567033712.3102
MEM 186.039062 1567033712.4125
MEM 186.449219 1567033712.5156
MEM 186.835938 1567033712.6207
MEM 187.183594 1567033712.7259
MEM 187.625000 1567033712.8310
MEM 187.976562 1567033712.9361
MEM 188.351562 1567033713.0393
MEM 188.765625 1567033713.1421
MEM 189.136719 1567033713.2472
MEM 189.496094 1567033713.3501
MEM 189.867188 1567033713.4527
MEM 190.242188 1567033713.5562
MEM 190.605469 1567033713.6590
MEM 190.921875 1567033713.7595
MEM 191.281250 1567033713.8626
MEM 191.714844 1567033713.9677
MEM 192.089844 1567033714.0686
MEM 192.492188 1567033714.1734
MEM 192.921875 1567033714.2783
MEM 193.328125 1567033714.3835
MEM 193.757812 1567033714.4861
MEM 194.105469 1567033714.5873
MEM 194.539062 1567033714.6924
MEM 194.937500 1567033714.7947
MEM 195.355469 1567033714.8998
MEM 195.812500 1567033715.0049
MEM 195.960938 1567033715.1059
MEM 196.316406 1567033715.2114
MEM 196.742188 1567033715.3165
MEM 197.128906 1567033715.4186
MEM 197.582031 1567033715.5237
MEM 197.953125 1567033715.6240
MEM 198.304688 1567033715.7241
MEM 198.691406 1567033715.8292
MEM 199.062500 1567033715.9314
MEM 199.472656 1567033716.0326
MEM 199.796875 1567033716.1343
MEM 200.183594 1567033716.2348
MEM 200.535156 1567033716.3399
MEM 200.957031 1567033716.4434
MEM 201.304688 1567033716.5459
MEM 201.652344 1567033716.6481
MEM 202.082031 1567033716.7533
MEM 202.472656 1567033716.8562
MEM 202.871094 1567033716.9593
MEM 203.246094 1567033717.0624
MEM 203.648438 1567033717.1675
MEM 204.019531 1567033717.2727
MEM 204.390625 1567033717.3732
MEM 204.753906 1567033717.4783
MEM 205.156250 1567033717.5834
MEM 205.519531 1567033717.6868
MEM 205.890625 1567033717.7913
MEM 206.265625 1567033717.8914
MEM 206.621094 1567033717.9916
MEM 206.960938 1567033718.0918
MEM 207.296875 1567033718.1924
MEM 207.656250 1567033718.2938
MEM 208.000000 1567033718.3947
MEM 208.371094 1567033718.4985
MEM 208.757812 1567033718.5987
MEM 209.109375 1567033718.7001
MEM 209.460938 1567033718.8037
MEM 209.906250 1567033718.9080
MEM 210.238281 1567033719.0111
MEM 210.648438 1567033719.1135
MEM 211.031250 1567033719.2181
MEM 211.398438 1567033719.3218
MEM 211.812500 1567033719.4231
MEM 212.171875 1567033719.5282
MEM 212.621094 1567033719.6315
MEM 212.964844 1567033719.7355
MEM 213.402344 1567033719.8384
MEM 213.785156 1567033719.9435
MEM 214.156250 1567033720.0464
MEM 214.574219 1567033720.1485
MEM 214.949219 1567033720.2536
MEM 215.371094 1567033720.3588
MEM 215.722656 1567033720.4614
MEM 216.167969 1567033720.5654
MEM 216.519531 1567033720.6676
MEM 216.968750 1567033720.7721
MEM 217.316406 1567033720.8764
MEM 217.457031 1567033720.9765
MEM 217.796875 1567033721.0802
MEM 218.164062 1567033721.1827
MEM 218.542969 1567033721.2878
MEM 218.921875 1567033721.3930
MEM 219.324219 1567033721.4981
MEM 219.675781 1567033721.6029
MEM 220.093750 1567033721.7080
MEM 220.445312 1567033721.8130
MEM 220.832031 1567033721.9148
MEM 221.199219 1567033722.0186
MEM 221.562500 1567033722.1217
MEM 221.921875 1567033722.2231
MEM 222.304688 1567033722.3237
MEM 222.714844 1567033722.4265
MEM 223.066406 1567033722.5292
MEM 223.410156 1567033722.6335
MEM 223.781250 1567033722.7368
MEM 224.152344 1567033722.8406
MEM 224.531250 1567033722.9418
MEM 224.878906 1567033723.0439
MEM 225.250000 1567033723.1446
MEM 225.644531 1567033723.2466
MEM 226.007812 1567033723.3506
MEM 226.402344 1567033723.4510
MEM 226.710938 1567033723.5518
MEM 227.058594 1567033723.6549
MEM 227.433594 1567033723.7581
MEM 227.804688 1567033723.8585
MEM 228.183594 1567033723.9626
MEM 228.480469 1567033724.0633
MEM 228.824219 1567033724.1636
MEM 229.144531 1567033724.2686
MEM 229.382812 1567033724.3698
MEM 229.617188 1567033724.4727
MEM 229.992188 1567033724.5774
MEM 230.222656 1567033724.6801
MEM 230.476562 1567033724.7831
MEM 230.757812 1567033724.8852
MEM 231.109375 1567033724.9878
MEM 231.386719 1567033725.0893
MEM 231.742188 1567033725.1920
MEM 232.097656 1567033725.2928
MEM 232.425781 1567033725.3958
MEM 232.746094 1567033725.4978
MEM 233.101562 1567033725.5982
MEM 233.410156 1567033725.7014
MEM 233.621094 1567033725.8017
MEM 232.808594 1567033725.9022
MEM 233.109375 1567033726.0039
MEM 233.429688 1567033726.1082
MEM 233.769531 1567033726.2086
MEM 234.046875 1567033726.3087
MEM 234.378906 1567033726.4089
MEM 234.664062 1567033726.5122
MEM 235.019531 1567033726.6125
MEM 235.371094 1567033726.7155
MEM 235.660156 1567033726.8187
MEM 236.015625 1567033726.9211
MEM 236.390625 1567033727.0249
