CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.308594 1580694235.1663
MEM 15.339844 1580694235.2700
MEM 26.519531 1580694235.3723
MEM 37.820312 1580694235.4729
MEM 43.496094 1580694235.5732
MEM 48.105469 1580694235.6735
MEM 55.476562 1580694235.7754
MEM 61.050781 1580694235.8761
MEM 64.312500 1580694235.9779
MEM 67.910156 1580694236.0782
MEM 70.695312 1580694236.1818
MEM 75.679688 1580694236.2829
MEM 78.992188 1580694236.3832
MEM 84.554688 1580694236.4835
MEM 90.007812 1580694236.5839
MEM 95.726562 1580694236.6844
MEM 100.046875 1580694236.7849
MEM 103.175781 1580694236.8852
MEM 136.804688 1580694236.9904
MEM 121.386719 1580694237.0948
MEM 145.632812 1580694237.1984
MEM 148.433594 1580694237.3014
MEM 152.683594 1580694237.4048
MEM 150.757812 1580694237.5057
MEM 152.781250 1580694237.6101
MEM 145.914062 1580694237.7115
MEM 145.968750 1580694237.8120
MEM 135.382812 1580694237.9172
MEM 135.589844 1580694238.0224
MEM 135.824219 1580694238.1239
MEM 136.148438 1580694238.2289
MEM 136.367188 1580694238.3332
MEM 136.726562 1580694238.4362
MEM 137.027344 1580694238.5413
MEM 137.265625 1580694238.6434
MEM 137.507812 1580694238.7477
MEM 138.191406 1580694238.8502
MEM 138.894531 1580694238.9552
MEM 139.175781 1580694239.0583
MEM 139.390625 1580694239.1635
MEM 139.628906 1580694239.2686
MEM 139.878906 1580694239.3706
MEM 140.125000 1580694239.4714
MEM 140.386719 1580694239.5764
MEM 140.699219 1580694239.6814
MEM 140.968750 1580694239.7865
MEM 141.195312 1580694239.8915
MEM 148.824219 1580694239.9952
MEM 172.804688 1580694240.0980
MEM 176.195312 1580694240.2021
MEM 147.609375 1580694240.3072
MEM 156.484375 1580694240.4084
MEM 125.683594 1580694240.5136
MEM 128.222656 1580694240.6185
MEM 128.281250 1580694240.7236
MEM 128.316406 1580694240.8286
MEM 128.359375 1580694240.9337
MEM 128.398438 1580694241.0387
MEM 128.429688 1580694241.1404
MEM 138.277344 1580694241.2430
MEM 141.398438 1580694241.3436
MEM 138.609375 1580694241.4470
MEM 151.957031 1580694241.5522
MEM 135.953125 1580694241.6541
MEM 152.062500 1580694241.7592
MEM 141.007812 1580694241.8644
MEM 125.019531 1580694241.9693
MEM 125.500000 1580694242.0745
MEM 126.417969 1580694242.1774
MEM 127.886719 1580694242.2777
MEM 129.589844 1580694242.3807
MEM 131.121094 1580694242.4818
MEM 132.605469 1580694242.5835
MEM 134.156250 1580694242.6887
MEM 135.457031 1580694242.7938
MEM 138.519531 1580694242.8966
MEM 144.570312 1580694243.0018
MEM 150.625000 1580694243.1070
MEM 154.019531 1580694243.2122
MEM 159.171875 1580694243.3174
MEM 165.050781 1580694243.4213
MEM 169.570312 1580694243.5265
MEM 171.976562 1580694243.6317
MEM 176.546875 1580694243.7370
MEM 182.621094 1580694243.8421
MEM 190.531250 1580694243.9473
MEM 192.628906 1580694244.0525
MEM 203.050781 1580694244.1536
MEM 207.062500 1580694244.2588
MEM 207.265625 1580694244.3630
MEM 207.621094 1580694244.4681
MEM 207.863281 1580694244.5734
MEM 208.039062 1580694244.6786
MEM 208.218750 1580694244.7838
MEM 208.492188 1580694244.8855
MEM 208.812500 1580694244.9878
MEM 208.941406 1580694245.0929
MEM 209.222656 1580694245.1982
MEM 209.457031 1580694245.3033
MEM 209.593750 1580694245.4085
MEM 209.761719 1580694245.5136
MEM 210.101562 1580694245.6188
MEM 210.167969 1580694245.7240
MEM 210.269531 1580694245.8292
MEM 210.429688 1580694245.9343
MEM 210.566406 1580694246.0369
MEM 210.683594 1580694246.1422
MEM 210.792969 1580694246.2474
MEM 210.933594 1580694246.3525
MEM 211.050781 1580694246.4577
MEM 211.128906 1580694246.5629
MEM 211.285156 1580694246.6679
MEM 211.398438 1580694246.7731
MEM 211.566406 1580694246.8783
MEM 211.792969 1580694246.9834
MEM 212.171875 1580694247.0886
MEM 212.683594 1580694247.1929
MEM 212.960938 1580694247.2977
MEM 213.058594 1580694247.3984
MEM 213.183594 1580694247.5036
MEM 213.304688 1580694247.6088
MEM 213.386719 1580694247.7140
MEM 213.507812 1580694247.8192
MEM 213.644531 1580694247.9228
MEM 213.769531 1580694248.0280
MEM 213.882812 1580694248.1331
MEM 214.015625 1580694248.2383
MEM 214.093750 1580694248.3407
MEM 214.250000 1580694248.4435
MEM 214.421875 1580694248.5487
MEM 214.605469 1580694248.6539
MEM 214.769531 1580694248.7590
MEM 214.914062 1580694248.8642
MEM 215.128906 1580694248.9694
MEM 215.378906 1580694249.0745
MEM 215.628906 1580694249.1797
MEM 215.816406 1580694249.2849
MEM 216.234375 1580694249.3900
MEM 216.851562 1580694249.4925
MEM 216.933594 1580694249.5978
MEM 217.054688 1580694249.7018
MEM 217.171875 1580694249.8028
MEM 217.273438 1580694249.9038
MEM 217.402344 1580694250.0049
MEM 217.511719 1580694250.1059
MEM 217.625000 1580694250.2111
MEM 217.765625 1580694250.3162
MEM 217.914062 1580694250.4213
MEM 218.015625 1580694250.5264
MEM 218.105469 1580694250.6315
MEM 218.226562 1580694250.7331
MEM 218.367188 1580694250.8382
MEM 218.500000 1580694250.9421
MEM 218.671875 1580694251.0473
MEM 218.968750 1580694251.1525
MEM 219.199219 1580694251.2530
MEM 219.738281 1580694251.3582
MEM 220.230469 1580694251.4634
MEM 220.324219 1580694251.5686
MEM 220.414062 1580694251.6729
MEM 220.511719 1580694251.7781
MEM 220.601562 1580694251.8832
MEM 220.718750 1580694251.9885
MEM 220.847656 1580694252.0936
MEM 220.964844 1580694252.1983
MEM 221.074219 1580694252.3034
MEM 221.164062 1580694252.4085
MEM 221.355469 1580694252.5088
MEM 221.496094 1580694252.6140
MEM 221.628906 1580694252.7191
MEM 221.703125 1580694252.8196
MEM 221.816406 1580694252.9233
MEM 221.960938 1580694253.0285
MEM 222.078125 1580694253.1336
MEM 222.207031 1580694253.2388
MEM 222.394531 1580694253.3439
MEM 222.707031 1580694253.4491
MEM 222.886719 1580694253.5542
MEM 223.429688 1580694253.6591
MEM 223.949219 1580694253.7643
MEM 224.535156 1580694253.8683
MEM 224.765625 1580694253.9735
MEM 224.933594 1580694254.0751
MEM 225.171875 1580694254.1804
MEM 225.460938 1580694254.2851
MEM 225.628906 1580694254.3899
MEM 225.988281 1580694254.4927
MEM 226.503906 1580694254.5979
MEM 226.996094 1580694254.7031
MEM 227.335938 1580694254.8048
MEM 227.617188 1580694254.9052
MEM 227.839844 1580694255.0080
MEM 228.343750 1580694255.1085
MEM 228.820312 1580694255.2099
MEM 229.570312 1580694255.3133
MEM 229.699219 1580694255.4141
MEM 229.769531 1580694255.5165
MEM 229.808594 1580694255.6193
MEM 229.808594 1580694255.7204
MEM 229.808594 1580694255.8224
MEM 229.808594 1580694255.9270
MEM 230.066406 1580694256.0298
MEM 230.066406 1580694256.1349
MEM 230.386719 1580694256.2391
FUNC hepqpr.qallse.qallse_base.sample_qubo_slices 229.8086 1580694255.9388 232.0820 1580694259.6277
FUNC hepqpr.qallse.qallse_base._create_doublets 133.1172 1580694242.7428 206.8906 1580694244.1903
FUNC hepqpr.qallse.qallse_base._create_triplets 206.8906 1580694244.1904 225.7383 1580694254.4427
FUNC hepqpr.qallse.qallse_base.to_qubo 227.2266 1580694254.7467 229.8086 1580694255.9387
MEM 230.386719 1580694256.3441
MEM 230.386719 1580694256.4491
MEM 230.492188 1580694256.5507
MEM 230.515625 1580694256.6559
MEM 230.542969 1580694256.7610
MEM 230.550781 1580694256.8662
MEM 230.550781 1580694256.9713
MEM 230.871094 1580694257.0765
MEM 230.871094 1580694257.1817
MEM 230.871094 1580694257.2854
MEM 230.871094 1580694257.3895
MEM 230.871094 1580694257.4905
MEM 231.164062 1580694257.5929
MEM 231.171875 1580694257.6981
MEM 231.171875 1580694257.8032
MEM 231.171875 1580694257.9048
MEM 231.171875 1580694258.0099
MEM 231.527344 1580694258.1151
MEM 231.527344 1580694258.2173
MEM 231.527344 1580694258.3225
MEM 231.527344 1580694258.4275
MEM 231.527344 1580694258.5287
MEM 231.527344 1580694258.6339
MEM 231.527344 1580694258.7361
MEM 231.933594 1580694258.8412
MEM 232.050781 1580694258.9449
MEM 232.054688 1580694259.0501
MEM 232.054688 1580694259.1552
MEM 232.054688 1580694259.2603
MEM 232.054688 1580694259.3655
MEM 232.054688 1580694259.4707
MEM 232.082031 1580694259.5726
MEM 233.292969 1580694259.6761
MEM 218.949219 1580694259.7796
MEM 218.949219 1580694259.8834
MEM 218.171875 1580694259.9851
MEM 116.636719 1580694260.0902
