CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.308594 1580695265.9421
MEM 15.601562 1580695266.0474
MEM 27.171875 1580695266.1525
MEM 42.070312 1580695266.2568
MEM 54.511719 1580695266.3592
MEM 67.445312 1580695266.4644
MEM 75.066406 1580695266.5696
MEM 86.351562 1580695266.6740
MEM 100.023438 1580695266.7792
MEM 130.511719 1580695266.8844
MEM 131.703125 1580695266.9896
MEM 149.582031 1580695267.0948
MEM 163.066406 1580695267.2000
MEM 150.777344 1580695267.3052
MEM 152.789062 1580695267.4104
MEM 146.851562 1580695267.5151
MEM 146.894531 1580695267.6203
MEM 140.898438 1580695267.7255
MEM 141.179688 1580695267.8307
MEM 141.492188 1580695267.9317
MEM 141.761719 1580695268.0348
MEM 142.101562 1580695268.1400
MEM 142.390625 1580695268.2451
MEM 142.660156 1580695268.3469
MEM 142.996094 1580695268.4492
MEM 143.308594 1580695268.5544
MEM 143.980469 1580695268.6595
MEM 144.207031 1580695268.7614
MEM 144.511719 1580695268.8666
MEM 144.777344 1580695268.9687
MEM 145.023438 1580695269.0738
MEM 145.273438 1580695269.1789
MEM 145.484375 1580695269.2800
MEM 145.710938 1580695269.3853
MEM 146.296875 1580695269.4905
MEM 146.566406 1580695269.5957
MEM 166.750000 1580695269.6965
MEM 173.691406 1580695269.8017
MEM 144.484375 1580695269.9027
MEM 153.324219 1580695270.0079
MEM 159.757812 1580695270.1131
MEM 127.382812 1580695270.2178
MEM 127.429688 1580695270.3230
MEM 127.464844 1580695270.4281
MEM 127.535156 1580695270.5303
MEM 127.574219 1580695270.6320
MEM 127.609375 1580695270.7372
MEM 136.210938 1580695270.8424
MEM 140.472656 1580695270.9449
MEM 137.351562 1580695271.0503
MEM 123.742188 1580695271.1555
MEM 136.117188 1580695271.2609
MEM 139.562500 1580695271.3661
MEM 150.398438 1580695271.4680
MEM 124.714844 1580695271.5682
MEM 125.070312 1580695271.6734
MEM 126.214844 1580695271.7784
MEM 127.710938 1580695271.8787
MEM 129.371094 1580695271.9789
MEM 130.851562 1580695272.0807
MEM 132.367188 1580695272.1832
MEM 133.906250 1580695272.2835
MEM 138.796875 1580695272.3860
MEM 143.925781 1580695272.4901
MEM 147.851562 1580695272.5936
MEM 153.910156 1580695272.6976
MEM 160.000000 1580695272.7995
MEM 162.558594 1580695272.9014
MEM 167.648438 1580695273.0066
MEM 172.980469 1580695273.1118
MEM 178.214844 1580695273.2170
MEM 181.093750 1580695273.3180
MEM 186.761719 1580695273.4184
MEM 199.207031 1580695273.5236
MEM 203.023438 1580695273.6289
MEM 203.921875 1580695273.7312
MEM 204.093750 1580695273.8358
MEM 204.238281 1580695273.9409
MEM 204.363281 1580695274.0461
MEM 204.492188 1580695274.1486
MEM 204.621094 1580695274.2538
MEM 204.746094 1580695274.3590
MEM 204.878906 1580695274.4641
MEM 204.984375 1580695274.5691
MEM 205.132812 1580695274.6743
MEM 205.296875 1580695274.7785
MEM 205.464844 1580695274.8837
MEM 205.582031 1580695274.9879
MEM 205.699219 1580695275.0930
MEM 205.789062 1580695275.1982
MEM 205.886719 1580695275.3034
MEM 205.976562 1580695275.4066
MEM 206.125000 1580695275.5117
MEM 206.269531 1580695275.6140
MEM 206.394531 1580695275.7192
MEM 206.515625 1580695275.8244
MEM 206.597656 1580695275.9295
MEM 206.679688 1580695276.0346
MEM 206.757812 1580695276.1398
MEM 206.863281 1580695276.2450
MEM 207.042969 1580695276.3501
MEM 207.167969 1580695276.4553
MEM 207.281250 1580695276.5580
MEM 207.441406 1580695276.6632
MEM 207.570312 1580695276.7682
MEM 207.656250 1580695276.8733
MEM 207.773438 1580695276.9785
MEM 207.886719 1580695277.0792
MEM 207.992188 1580695277.1829
MEM 208.074219 1580695277.2881
MEM 208.175781 1580695277.3933
MEM 208.281250 1580695277.4981
MEM 208.421875 1580695277.6033
MEM 208.558594 1580695277.7085
MEM 208.675781 1580695277.8137
MEM 208.792969 1580695277.9189
MEM 208.917969 1580695278.0241
MEM 209.000000 1580695278.1291
MEM 209.175781 1580695278.2293
MEM 209.515625 1580695278.3345
MEM 209.750000 1580695278.4397
MEM 209.882812 1580695278.5413
MEM 210.031250 1580695278.6415
MEM 210.214844 1580695278.7467
MEM 210.304688 1580695278.8518
MEM 210.453125 1580695278.9570
MEM 210.621094 1580695279.0622
MEM 210.765625 1580695279.1674
MEM 210.894531 1580695279.2713
MEM 211.023438 1580695279.3765
MEM 211.187500 1580695279.4816
MEM 211.367188 1580695279.5867
MEM 211.585938 1580695279.6919
MEM 212.164062 1580695279.7971
MEM 212.457031 1580695279.9023
MEM 212.632812 1580695280.0074
MEM 212.808594 1580695280.1127
MEM 213.046875 1580695280.2178
MEM 213.269531 1580695280.3183
MEM 213.636719 1580695280.4187
MEM 214.261719 1580695280.5234
MEM 214.644531 1580695280.6287
MEM 215.082031 1580695280.7339
MEM 215.886719 1580695280.8391
MEM 216.781250 1580695280.9426
MEM 216.953125 1580695281.0479
MEM 217.109375 1580695281.1531
MEM 217.238281 1580695281.2583
MEM 217.351562 1580695281.3634
MEM 217.484375 1580695281.4684
MEM 217.609375 1580695281.5735
MEM 217.722656 1580695281.6787
MEM 217.855469 1580695281.7811
MEM 217.972656 1580695281.8865
MEM 218.109375 1580695281.9899
MEM 218.253906 1580695282.0925
MEM 218.402344 1580695282.1978
MEM 218.523438 1580695282.3030
MEM 218.621094 1580695282.4081
MEM 218.722656 1580695282.5119
MEM 218.808594 1580695282.6170
MEM 218.910156 1580695282.7222
MEM 219.058594 1580695282.8274
MEM 219.207031 1580695282.9325
MEM 219.324219 1580695283.0376
MEM 219.429688 1580695283.1428
MEM 219.515625 1580695283.2479
MEM 219.593750 1580695283.3516
MEM 219.671875 1580695283.4568
MEM 219.769531 1580695283.5591
MEM 219.960938 1580695283.6643
MEM 220.066406 1580695283.7685
MEM 220.179688 1580695283.8735
MEM 220.347656 1580695283.9786
MEM 220.457031 1580695284.0801
MEM 220.535156 1580695284.1852
MEM 220.667969 1580695284.2856
MEM 220.761719 1580695284.3870
MEM 220.867188 1580695284.4922
MEM 220.953125 1580695284.5937
MEM 221.042969 1580695284.6988
MEM 221.160156 1580695284.8040
MEM 221.300781 1580695284.9085
MEM 221.437500 1580695285.0137
MEM 221.546875 1580695285.1185
MEM 221.660156 1580695285.2237
MEM 221.765625 1580695285.3255
MEM 221.859375 1580695285.4307
MEM 222.085938 1580695285.5358
MEM 222.394531 1580695285.6410
MEM 222.593750 1580695285.7437
MEM 222.750000 1580695285.8488
MEM 222.890625 1580695285.9539
MEM 222.996094 1580695286.0556
MEM 223.085938 1580695286.1560
MEM 223.238281 1580695286.2612
MEM 223.406250 1580695286.3664
MEM 223.527344 1580695286.4685
MEM 223.644531 1580695286.5728
MEM 223.785156 1580695286.6779
MEM 223.949219 1580695286.7813
MEM 224.101562 1580695286.8864
MEM 224.394531 1580695286.9916
MEM 224.953125 1580695287.0948
MEM 225.160156 1580695287.2000
MEM 225.332031 1580695287.3052
MEM 225.511719 1580695287.4103
MEM 225.527344 1580695287.5155
MEM 225.718750 1580695287.6186
MEM 225.933594 1580695287.7209
MEM 226.363281 1580695287.8261
MEM 226.949219 1580695287.9313
MEM 227.273438 1580695288.0365
MEM 227.753906 1580695288.1416
MEM 228.492188 1580695288.2449
MEM 229.304688 1580695288.3455
MEM 229.468750 1580695288.4507
MEM 229.617188 1580695288.5560
MEM 229.742188 1580695288.6609
MEM 229.867188 1580695288.7661
MEM 229.992188 1580695288.8713
MEM 230.136719 1580695288.9764
MEM 230.238281 1580695289.0816
MEM 230.375000 1580695289.1823
MEM 230.484375 1580695289.2862
MEM 230.628906 1580695289.3913
MEM 230.800781 1580695289.4966
MEM 230.937500 1580695289.6017
MEM 231.066406 1580695289.7069
MEM 231.160156 1580695289.8121
MEM 231.250000 1580695289.9173
MEM 231.335938 1580695290.0187
MEM 231.441406 1580695290.1188
MEM 231.593750 1580695290.2240
MEM 231.742188 1580695290.3292
MEM 231.859375 1580695290.4343
MEM 231.960938 1580695290.5373
MEM 232.042969 1580695290.6383
MEM 232.125000 1580695290.7393
MEM 232.199219 1580695290.8403
MEM 232.304688 1580695290.9455
MEM 232.484375 1580695291.0461
MEM 232.597656 1580695291.1512
MEM 232.917969 1580695291.2564
MEM 233.074219 1580695291.3615
MEM 233.191406 1580695291.4667
MEM 233.281250 1580695291.5718
MEM 233.398438 1580695291.6770
MEM 233.503906 1580695291.7821
MEM 233.609375 1580695291.8828
MEM 233.683594 1580695291.9879
MEM 233.785156 1580695292.0931
MEM 233.910156 1580695292.1960
MEM 234.046875 1580695292.3011
MEM 234.183594 1580695292.4063
MEM 234.289062 1580695292.5115
MEM 234.429688 1580695292.6167
MEM 234.519531 1580695292.7188
MEM 234.609375 1580695292.8240
MEM 234.894531 1580695292.9292
MEM 235.214844 1580695293.0343
MEM 235.375000 1580695293.1348
MEM 235.515625 1580695293.2400
MEM 235.675781 1580695293.3452
MEM 235.757812 1580695293.4468
MEM 235.843750 1580695293.5471
MEM 236.019531 1580695293.6503
MEM 236.183594 1580695293.7555
MEM 236.304688 1580695293.8606
MEM 236.425781 1580695293.9658
MEM 234.781250 1580695294.0679
MEM 234.949219 1580695294.1731
MEM 235.101562 1580695294.2782
MEM 235.417969 1580695294.3834
MEM 235.992188 1580695294.4886
MEM 236.179688 1580695294.5938
MEM 236.355469 1580695294.6989
MEM 236.539062 1580695294.8041
MEM 236.769531 1580695294.9093
MEM 237.035156 1580695295.0144
MEM 237.562500 1580695295.1149
MEM 238.023438 1580695295.2190
MEM 238.351562 1580695295.3242
MEM 238.386719 1580695295.4293
MEM 239.156250 1580695295.5345
MEM 239.894531 1580695295.6397
MEM 240.062500 1580695295.7450
MEM 240.199219 1580695295.8481
MEM 240.324219 1580695295.9518
MEM 240.437500 1580695296.0559
MEM 240.574219 1580695296.1611
MEM 240.710938 1580695296.2663
MEM 240.812500 1580695296.3689
MEM 240.941406 1580695296.4741
MEM 241.066406 1580695296.5793
MEM 241.210938 1580695296.6844
MEM 241.378906 1580695296.7896
MEM 241.507812 1580695296.8947
MEM 241.621094 1580695296.9991
MEM 241.718750 1580695297.1043
MEM 241.808594 1580695297.2092
MEM 241.906250 1580695297.3143
MEM 242.015625 1580695297.4188
MEM 242.187500 1580695297.5239
MEM 242.289062 1580695297.6291
MEM 242.417969 1580695297.7343
MEM 242.507812 1580695297.8395
MEM 242.601562 1580695297.9447
MEM 242.671875 1580695298.0498
MEM 242.906250 1580695298.1550
MEM 243.035156 1580695298.2597
MEM 243.207031 1580695298.3648
MEM 243.304688 1580695298.4657
MEM 243.449219 1580695298.5709
MEM 243.589844 1580695298.6746
MEM 243.695312 1580695298.7797
MEM 243.796875 1580695298.8849
MEM 243.910156 1580695298.9901
MEM 244.011719 1580695299.0952
MEM 244.105469 1580695299.1972
MEM 244.195312 1580695299.2992
MEM 244.289062 1580695299.4044
MEM 244.414062 1580695299.5096
MEM 244.558594 1580695299.6125
MEM 244.683594 1580695299.7176
MEM 244.781250 1580695299.8189
MEM 244.925781 1580695299.9241
MEM 245.000000 1580695300.0292
MEM 245.097656 1580695300.1344
MEM 245.472656 1580695300.2396
MEM 245.710938 1580695300.3448
MEM 245.859375 1580695300.4494
MEM 246.015625 1580695300.5503
MEM 246.152344 1580695300.6555
MEM 246.238281 1580695300.7607
MEM 246.347656 1580695300.8658
MEM 246.511719 1580695300.9689
MEM 246.671875 1580695301.0741
MEM 246.796875 1580695301.1750
MEM 246.914062 1580695301.2802
MEM 247.058594 1580695301.3855
MEM 247.250000 1580695301.4907
MEM 247.390625 1580695301.5958
MEM 247.832031 1580695301.7005
MEM 246.566406 1580695301.8017
MEM 246.746094 1580695301.9069
MEM 246.921875 1580695302.0120
MEM 247.097656 1580695302.1172
MEM 247.355469 1580695302.2223
MEM 247.617188 1580695302.3275
MEM 248.238281 1580695302.4309
MEM 248.636719 1580695302.5361
MEM 248.996094 1580695302.6412
MEM 249.355469 1580695302.7452
MEM 249.500000 1580695302.8504
MEM 250.132812 1580695302.9515
MEM 250.902344 1580695303.0566
MEM 251.070312 1580695303.1630
MEM 251.207031 1580695303.2682
MEM 251.335938 1580695303.3690
MEM 251.441406 1580695303.4728
MEM 251.574219 1580695303.5744
MEM 251.707031 1580695303.6794
MEM 251.808594 1580695303.7817
MEM 251.953125 1580695303.8869
MEM 252.082031 1580695303.9921
MEM 252.214844 1580695304.0948
MEM 252.382812 1580695304.2000
MEM 252.527344 1580695304.3052
MEM 252.656250 1580695304.4103
MEM 252.757812 1580695304.5155
MEM 252.851562 1580695304.6206
MEM 252.957031 1580695304.7258
MEM 253.066406 1580695304.8264
MEM 253.222656 1580695304.9315
MEM 253.359375 1580695305.0367
MEM 253.496094 1580695305.1418
MEM 253.585938 1580695305.2470
MEM 253.675781 1580695305.3521
MEM 253.757812 1580695305.4573
MEM 253.839844 1580695305.5625
MEM 253.953125 1580695305.6649
MEM 254.140625 1580695305.7701
MEM 254.246094 1580695305.8752
MEM 254.390625 1580695305.9803
MEM 254.546875 1580695306.0855
MEM 254.652344 1580695306.1906
MEM 254.746094 1580695306.2958
MEM 254.871094 1580695306.4009
MEM 254.972656 1580695306.5026
MEM 255.070312 1580695306.6078
MEM 255.156250 1580695306.7130
MEM 255.257812 1580695306.8182
MEM 255.355469 1580695306.9227
MEM 255.500000 1580695307.0278
MEM 255.648438 1580695307.1330
MEM 255.753906 1580695307.2373
MEM 255.875000 1580695307.3424
MEM 255.988281 1580695307.4476
MEM 256.078125 1580695307.5526
MEM 256.328125 1580695307.6578
MEM 256.652344 1580695307.7629
MEM 256.839844 1580695307.8646
MEM 257.000000 1580695307.9698
MEM 257.136719 1580695308.0750
MEM 257.253906 1580695308.1801
MEM 257.351562 1580695308.2853
MEM 257.519531 1580695308.3905
MEM 257.691406 1580695308.4958
MEM 257.812500 1580695308.5969
MEM 257.929688 1580695308.7020
MEM 258.062500 1580695308.8026
MEM 258.230469 1580695308.9063
MEM 258.394531 1580695309.0114
MEM 258.640625 1580695309.1152
MEM 259.175781 1580695309.2191
MEM 259.468750 1580695309.3243
MEM 259.636719 1580695309.4256
MEM 259.796875 1580695309.5259
MEM 260.007812 1580695309.6310
MEM 260.269531 1580695309.7361
MEM 260.597656 1580695309.8408
MEM 261.242188 1580695309.9460
MEM 261.632812 1580695310.0512
MEM 262.035156 1580695310.1564
MEM 262.828125 1580695310.2616
MEM 263.628906 1580695310.3668
MEM 263.941406 1580695310.4676
MEM 264.093750 1580695310.5728
MEM 264.246094 1580695310.6780
MEM 264.363281 1580695310.7832
MEM 264.492188 1580695310.8884
MEM 264.628906 1580695310.9921
MEM 264.734375 1580695311.0931
MEM 264.867188 1580695311.1982
MEM 264.960938 1580695311.2994
MEM 265.105469 1580695311.4027
MEM 265.246094 1580695311.5048
MEM 265.394531 1580695311.6070
