CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.308594 1578690429.8614
MEM 15.753906 1578690429.9659
MEM 26.035156 1578690430.0708
MEM 37.523438 1578690430.1750
MEM 45.417969 1578690430.2754
MEM 49.558594 1578690430.3799
MEM 57.253906 1578690430.4803
MEM 63.640625 1578690430.5807
MEM 67.531250 1578690430.6838
MEM 70.992188 1578690430.7856
MEM 75.648438 1578690430.8859
MEM 78.875000 1578690430.9870
MEM 83.035156 1578690431.0910
MEM 87.140625 1578690431.1912
MEM 93.710938 1578690431.2927
MEM 99.835938 1578690431.3939
MEM 105.300781 1578690431.4964
MEM 108.160156 1578690431.5997
MEM 110.449219 1578690431.7034
MEM 112.929688 1578690431.8036
MEM 150.066406 1578690431.9088
MEM 148.339844 1578690432.0139
MEM 155.421875 1578690432.1174
MEM 171.691406 1578690432.2201
MEM 167.378906 1578690432.3237
MEM 167.523438 1578690432.4267
MEM 167.523438 1578690432.5312
MEM 168.753906 1578690432.6353
MEM 178.187500 1578690432.7393
MEM 178.703125 1578690432.8443
MEM 171.183594 1578690432.9494
MEM 171.300781 1578690433.0542
MEM 153.597656 1578690433.1573
MEM 153.734375 1578690433.2621
MEM 154.300781 1578690433.3672
MEM 154.753906 1578690433.4724
MEM 155.121094 1578690433.5757
MEM 155.542969 1578690433.6769
MEM 155.882812 1578690433.7790
MEM 156.277344 1578690433.8842
MEM 156.695312 1578690433.9863
MEM 156.820312 1578690434.0915
MEM 157.218750 1578690434.1953
MEM 157.542969 1578690434.3004
MEM 157.746094 1578690434.4018
MEM 158.191406 1578690434.5026
MEM 158.492188 1578690434.6077
MEM 158.769531 1578690434.7106
MEM 159.226562 1578690434.8138
MEM 160.390625 1578690434.9189
MEM 160.734375 1578690435.0210
MEM 162.164062 1578690435.1244
MEM 162.437500 1578690435.2247
MEM 163.855469 1578690435.3298
MEM 164.359375 1578690435.4310
MEM 164.562500 1578690435.5361
MEM 166.160156 1578690435.6383
MEM 166.535156 1578690435.7397
MEM 166.718750 1578690435.8444
MEM 168.582031 1578690435.9495
MEM 169.066406 1578690436.0546
MEM 169.207031 1578690436.1597
MEM 171.218750 1578690436.2619
MEM 171.562500 1578690436.3670
MEM 171.898438 1578690436.4697
MEM 172.328125 1578690436.5702
MEM 172.484375 1578690436.6750
MEM 174.718750 1578690436.7792
MEM 175.070312 1578690436.8843
MEM 175.218750 1578690436.9850
MEM 175.718750 1578690437.0890
MEM 177.933594 1578690437.1932
MEM 178.289062 1578690437.2983
MEM 178.691406 1578690437.4016
MEM 178.816406 1578690437.5018
MEM 179.304688 1578690437.6069
MEM 179.605469 1578690437.7105
MEM 179.820312 1578690437.8136
MEM 180.292969 1578690437.9178
MEM 180.496094 1578690438.0220
MEM 180.964844 1578690438.1254
MEM 181.390625 1578690438.2262
MEM 181.515625 1578690438.3284
MEM 181.726562 1578690438.4310
MEM 182.210938 1578690438.5361
MEM 182.421875 1578690438.6396
MEM 182.914062 1578690438.7448
MEM 183.238281 1578690438.8453
MEM 183.468750 1578690438.9465
MEM 183.968750 1578690439.0513
MEM 184.230469 1578690439.1534
MEM 184.597656 1578690439.2574
MEM 185.031250 1578690439.3588
MEM 185.285156 1578690439.4590
MEM 185.582031 1578690439.5600
MEM 186.082031 1578690439.6605
MEM 185.734375 1578690439.7657
MEM 185.949219 1578690439.8699
MEM 186.527344 1578690439.9730
MEM 186.964844 1578690440.0779
MEM 187.164062 1578690440.1797
MEM 187.589844 1578690440.2848
MEM 187.972656 1578690440.3857
MEM 188.089844 1578690440.4897
MEM 188.593750 1578690440.5918
MEM 188.843750 1578690440.6947
MEM 189.191406 1578690440.7971
MEM 187.398438 1578690440.8985
MEM 187.562500 1578690441.0031
MEM 188.078125 1578690441.1076
MEM 188.562500 1578690441.2104
MEM 188.695312 1578690441.3145
MEM 189.242188 1578690441.4186
MEM 189.656250 1578690441.5216
MEM 189.101562 1578690441.6251
MEM 189.640625 1578690441.7276
MEM 189.015625 1578690441.8325
MEM 189.453125 1578690441.9335
MEM 189.847656 1578690442.0386
MEM 190.128906 1578690442.1389
MEM 190.515625 1578690442.2415
MEM 190.839844 1578690442.3421
MEM 191.187500 1578690442.4435
MEM 191.546875 1578690442.5455
MEM 191.863281 1578690442.6493
MEM 191.699219 1578690442.7543
MEM 192.058594 1578690442.8554
