CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.312500 1578676627.4152
MEM 15.195312 1578676627.5161
MEM 26.480469 1578676627.6207
MEM 37.468750 1578676627.7259
MEM 44.539062 1578676627.8273
MEM 50.976562 1578676627.9284
MEM 60.675781 1578676628.0293
MEM 64.765625 1578676628.1295
MEM 68.171875 1578676628.2305
MEM 70.230469 1578676628.3328
MEM 72.097656 1578676628.4361
MEM 77.527344 1578676628.5412
MEM 81.941406 1578676628.6416
MEM 86.867188 1578676628.7418
MEM 92.550781 1578676628.8447
MEM 97.625000 1578676628.9470
MEM 101.203125 1578676629.0502
MEM 103.675781 1578676629.1546
MEM 137.648438 1578676629.2575
MEM 130.496094 1578676629.3597
MEM 148.730469 1578676629.4649
MEM 163.101562 1578676629.5680
MEM 150.484375 1578676629.6720
MEM 150.625000 1578676629.7772
MEM 150.625000 1578676629.8774
MEM 156.445312 1578676629.9820
MEM 166.144531 1578676630.0873
MEM 165.531250 1578676630.1925
MEM 163.343750 1578676630.2971
MEM 163.445312 1578676630.3974
MEM 144.867188 1578676630.5008
MEM 144.890625 1578676630.6023
MEM 145.410156 1578676630.7027
MEM 145.777344 1578676630.8059
MEM 146.203125 1578676630.9073
MEM 146.472656 1578676631.0125
MEM 146.789062 1578676631.1133
MEM 147.175781 1578676631.2186
MEM 147.300781 1578676631.3191
MEM 147.714844 1578676631.4243
MEM 147.859375 1578676631.5259
MEM 148.257812 1578676631.6286
MEM 148.636719 1578676631.7338
MEM 148.777344 1578676631.8390
MEM 149.242188 1578676631.9429
MEM 149.640625 1578676632.0481
MEM 149.796875 1578676632.1526
MEM 151.128906 1578676632.2579
MEM 151.535156 1578676632.3631
MEM 151.761719 1578676632.4641
MEM 153.046875 1578676632.5693
MEM 153.531250 1578676632.6718
MEM 153.800781 1578676632.7767
MEM 155.078125 1578676632.8819
MEM 155.585938 1578676632.9862
MEM 155.769531 1578676633.0889
MEM 157.285156 1578676633.1940
MEM 157.765625 1578676633.2991
MEM 157.937500 1578676633.4042
MEM 159.707031 1578676633.5059
MEM 160.023438 1578676633.6110
MEM 160.261719 1578676633.7162
MEM 162.292969 1578676633.8203
MEM 162.714844 1578676633.9205
MEM 162.863281 1578676634.0256
MEM 163.339844 1578676634.1272
MEM 165.546875 1578676634.2299
MEM 165.796875 1578676634.3337
MEM 166.191406 1578676634.4357
MEM 166.593750 1578676634.5409
MEM 166.824219 1578676634.6457
MEM 169.289062 1578676634.7509
MEM 169.492188 1578676634.8518
MEM 169.921875 1578676634.9554
MEM 170.449219 1578676635.0606
MEM 170.761719 1578676635.1657
MEM 170.921875 1578676635.2709
MEM 171.425781 1578676635.3749
MEM 171.742188 1578676635.4781
MEM 171.972656 1578676635.5833
MEM 172.464844 1578676635.6885
MEM 172.695312 1578676635.7936
MEM 172.792969 1578676635.8988
MEM 173.222656 1578676635.9994
MEM 173.414062 1578676636.0996
MEM 173.820312 1578676636.2047
MEM 174.074219 1578676636.3080
MEM 174.519531 1578676636.4083
MEM 174.871094 1578676636.5105
MEM 175.046875 1578676636.6122
MEM 175.578125 1578676636.7128
MEM 175.992188 1578676636.8134
MEM 176.281250 1578676636.9137
MEM 176.367188 1578676637.0160
MEM 176.839844 1578676637.1168
MEM 177.261719 1578676637.2203
MEM 176.941406 1578676637.3209
MEM 177.058594 1578676637.4261
MEM 177.523438 1578676637.5270
MEM 177.929688 1578676637.6277
MEM 178.167969 1578676637.7329
MEM 178.433594 1578676637.8365
MEM 178.886719 1578676637.9391
MEM 179.089844 1578676638.0443
MEM 179.433594 1578676638.1451
MEM 179.808594 1578676638.2458
MEM 180.171875 1578676638.3462
MEM 180.238281 1578676638.4464
MEM 180.644531 1578676638.5467
MEM 181.148438 1578676638.6497
MEM 181.500000 1578676638.7546
MEM 181.585938 1578676638.8597
MEM 182.023438 1578676638.9601
MEM 182.425781 1578676639.0606
MEM 180.546875 1578676639.1658
MEM 180.640625 1578676639.2666
MEM 179.992188 1578676639.3669
MEM 180.503906 1578676639.4712
MEM 180.960938 1578676639.5758
MEM 181.261719 1578676639.6760
MEM 181.332031 1578676639.7764
MEM 181.492188 1578676639.8767
MEM 181.859375 1578676639.9770
MEM 182.234375 1578676640.0822
MEM 182.398438 1578676640.1847
MEM 182.824219 1578676640.2852
MEM 183.242188 1578676640.3855
MEM 182.539062 1578676640.4908
MEM 182.996094 1578676640.5918
MEM 183.246094 1578676640.6941
MEM 183.593750 1578676640.7970
MEM 184.093750 1578676640.9022
MEM 184.242188 1578676641.0041
MEM 184.785156 1578676641.1093
MEM 185.246094 1578676641.2137
MEM 185.457031 1578676641.3189
MEM 185.988281 1578676641.4237
MEM 186.371094 1578676641.5289
MEM 186.652344 1578676641.6314
MEM 186.812500 1578676641.7366
MEM 185.984375 1578676641.8418
MEM 186.367188 1578676641.9428
MEM 186.660156 1578676642.0437
MEM 187.062500 1578676642.1475
MEM 187.222656 1578676642.2528
MEM 187.703125 1578676642.3547
MEM 187.933594 1578676642.4598
MEM 188.398438 1578676642.5605
MEM 188.667969 1578676642.6657
MEM 189.121094 1578676642.7665
MEM 189.433594 1578676642.8717
MEM 189.867188 1578676642.9751
MEM 190.371094 1578676643.0756
MEM 190.312500 1578676643.1791
MEM 190.710938 1578676643.2843
MEM 191.132812 1578676643.3846
MEM 191.332031 1578676643.4897
MEM 191.796875 1578676643.5904
MEM 192.015625 1578676643.6956
MEM 192.464844 1578676643.7990
MEM 192.781250 1578676643.9036
MEM 193.121094 1578676644.0087
MEM 193.613281 1578676644.1094
MEM 193.871094 1578676644.2124
MEM 194.335938 1578676644.3154
MEM 194.699219 1578676644.4205
MEM 194.917969 1578676644.5214
MEM 195.007812 1578676644.6266
MEM 195.156250 1578676644.7274
MEM 195.429688 1578676644.8310
MEM 195.746094 1578676644.9359
MEM 195.531250 1578676645.0411
MEM 195.960938 1578676645.1446
MEM 196.199219 1578676645.2461
MEM 196.601562 1578676645.3513
MEM 214.117188 1578676645.4520
MEM 250.316406 1578676645.5566
MEM 288.781250 1578676645.6580
MEM 324.632812 1578676645.7633
