CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.308594 1580695197.2248
MEM 15.332031 1580695197.3285
MEM 26.589844 1580695197.4288
MEM 37.910156 1580695197.5295
MEM 47.242188 1580695197.6301
MEM 53.710938 1580695197.7305
MEM 63.507812 1580695197.8308
MEM 67.292969 1580695197.9315
MEM 69.800781 1580695198.0318
MEM 71.996094 1580695198.1321
MEM 77.207031 1580695198.2330
MEM 81.085938 1580695198.3373
MEM 85.921875 1580695198.4376
MEM 90.941406 1580695198.5380
MEM 95.863281 1580695198.6384
MEM 100.253906 1580695198.7386
MEM 103.589844 1580695198.8389
MEM 138.355469 1580695198.9406
MEM 136.578125 1580695199.0458
MEM 150.414062 1580695199.1510
MEM 162.968750 1580695199.2556
MEM 150.714844 1580695199.3589
MEM 152.730469 1580695199.4641
MEM 152.531250 1580695199.5645
MEM 145.988281 1580695199.6674
MEM 146.027344 1580695199.7702
MEM 135.429688 1580695199.8753
MEM 135.710938 1580695199.9805
MEM 135.953125 1580695200.0857
MEM 136.230469 1580695200.1908
MEM 136.527344 1580695200.2959
MEM 136.812500 1580695200.4010
MEM 137.023438 1580695200.5061
MEM 137.281250 1580695200.6113
MEM 137.507812 1580695200.7164
MEM 138.402344 1580695200.8216
MEM 138.671875 1580695200.9267
MEM 138.953125 1580695201.0318
MEM 139.191406 1580695201.1370
MEM 139.410156 1580695201.2421
MEM 139.621094 1580695201.3472
MEM 139.906250 1580695201.4523
MEM 140.203125 1580695201.5574
MEM 140.441406 1580695201.6626
MEM 140.710938 1580695201.7677
MEM 141.429688 1580695201.8728
MEM 159.078125 1580695201.9749
MEM 176.972656 1580695202.0801
MEM 155.089844 1580695202.1853
MEM 151.949219 1580695202.2905
MEM 159.875000 1580695202.3924
FUNC hepqpr.qallse.qallse_base._create_doublets 133.2344 1580695204.7237 208.2383 1580695206.0987
FUNC hepqpr.qallse.qallse_base._create_triplets 208.2383 1580695206.0989 208.2383 1580695206.0989
MEM 131.046875 1580695202.4930
MEM 128.304688 1580695202.5982
MEM 128.343750 1580695202.7025
MEM 128.382812 1580695202.8077
MEM 128.429688 1580695202.9128
MEM 128.457031 1580695203.0180
MEM 128.507812 1580695203.1232
MEM 136.617188 1580695203.2285
MEM 143.097656 1580695203.3337
MEM 138.816406 1580695203.4386
MEM 153.140625 1580695203.5407
MEM 137.718750 1580695203.6460
MEM 151.144531 1580695203.7504
MEM 149.257812 1580695203.8556
MEM 125.046875 1580695203.9558
MEM 125.593750 1580695204.0597
MEM 126.625000 1580695204.1609
MEM 128.148438 1580695204.2648
MEM 129.753906 1580695204.3666
MEM 131.332031 1580695204.4707
MEM 132.832031 1580695204.5735
MEM 134.398438 1580695204.6787
MEM 133.796875 1580695204.7789
MEM 139.539062 1580695204.8842
MEM 146.066406 1580695204.9894
MEM 152.062500 1580695205.0946
MEM 155.281250 1580695205.1998
MEM 161.667969 1580695205.3050
MEM 167.550781 1580695205.4102
MEM 170.210938 1580695205.5154
MEM 174.246094 1580695205.6207
MEM 179.585938 1580695205.7225
MEM 186.832031 1580695205.8279
MEM 189.027344 1580695205.9306
MEM 200.515625 1580695206.0357
MEM 208.144531 1580695206.1376
MEM 208.144531 1580695206.2429
MEM 197.535156 1580695206.3481
MEM 197.535156 1580695206.4533
MEM 192.882812 1580695206.5586
