CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.312500 1565998616.2315
MEM 16.433594 1565998616.3331
MEM 25.257812 1565998616.4352
MEM 32.421875 1565998616.5388
MEM 43.550781 1565998616.6392
MEM 49.441406 1565998616.7413
MEM 53.214844 1565998616.8447
MEM 56.164062 1565998616.9455
MEM 58.730469 1565998617.0458
MEM 63.742188 1565998617.1460
MEM 69.226562 1565998617.2500
MEM 75.078125 1565998617.3551
MEM 78.605469 1565998617.4554
MEM 111.078125 1565998617.5587
MEM 96.500000 1565998617.6593
MEM 119.742188 1565998617.7620
MEM 138.605469 1565998617.8648
MEM 135.011719 1565998617.9665
MEM 130.003906 1565998618.0681
MEM 130.027344 1565998618.1708
MEM 129.816406 1565998618.2732
MEM 132.152344 1565998618.3750
MEM 143.429688 1565998618.4802
MEM 149.226562 1565998618.5847
MEM 130.406250 1565998618.6857
MEM 130.640625 1565998618.7874
MEM 123.312500 1565998618.8926
MEM 123.578125 1565998618.9959
MEM 124.359375 1565998619.0989
MEM 124.679688 1565998619.2013
MEM 124.964844 1565998619.3027
MEM 125.375000 1565998619.4039
MEM 125.707031 1565998619.5079
MEM 125.902344 1565998619.6091
MEM 126.734375 1565998619.7124
MEM 127.035156 1565998619.8139
MEM 127.183594 1565998619.9154
MEM 127.593750 1565998620.0157
MEM 127.792969 1565998620.1196
MEM 128.121094 1565998620.2210
MEM 128.558594 1565998620.3249
MEM 128.835938 1565998620.4301
MEM 129.035156 1565998620.5338
MEM 129.429688 1565998620.6390
MEM 129.703125 1565998620.7410
MEM 130.664062 1565998620.8462
MEM 131.230469 1565998620.9513
MEM 132.527344 1565998621.0565
MEM 132.660156 1565998621.1570
MEM 134.167969 1565998621.2608
MEM 134.531250 1565998621.3659
MEM 134.703125 1565998621.4691
MEM 136.417969 1565998621.5718
MEM 136.769531 1565998621.6735
MEM 136.949219 1565998621.7767
MEM 137.511719 1565998621.8808
MEM 139.308594 1565998621.9860
MEM 139.433594 1565998622.0912
MEM 139.941406 1565998622.1925
MEM 140.347656 1565998622.2956
MEM 141.175781 1565998622.4008
MEM 142.710938 1565998622.5016
MEM 143.132812 1565998622.6062
MEM 143.035156 1565998622.7117
MEM 145.300781 1565998622.8169
MEM 145.691406 1565998622.9196
MEM 145.882812 1565998623.0242
MEM 146.292969 1565998623.1255
MEM 146.675781 1565998623.2269
MEM 146.832031 1565998623.3314
MEM 147.117188 1565998623.4366
MEM 147.453125 1565998623.5393
MEM 147.562500 1565998623.6411
MEM 148.121094 1565998623.7463
MEM 148.281250 1565998623.8488
MEM 148.410156 1565998623.9511
MEM 148.785156 1565998624.0545
MEM 149.246094 1565998624.1568
MEM 149.515625 1565998624.2598
MEM 149.691406 1565998624.3622
MEM 150.246094 1565998624.4633
MEM 150.582031 1565998624.5648
MEM 150.820312 1565998624.6678
MEM 151.273438 1565998624.7707
MEM 151.453125 1565998624.8759
MEM 151.906250 1565998624.9782
MEM 152.335938 1565998625.0830
MEM 152.457031 1565998625.1843
MEM 152.898438 1565998625.2859
MEM 152.707031 1565998625.3880
MEM 152.886719 1565998625.4882
MEM 153.292969 1565998625.5902
MEM 153.691406 1565998625.6905
MEM 153.910156 1565998625.7938
MEM 154.105469 1565998625.8946
MEM 154.652344 1565998625.9977
MEM 155.058594 1565998626.0993
MEM 155.214844 1565998626.2036
MEM 155.691406 1565998626.3088
MEM 156.156250 1565998626.4116
MEM 156.539062 1565998626.5126
MEM 156.621094 1565998626.6156
MEM 157.121094 1565998626.7190
MEM 157.523438 1565998626.8208
MEM 157.710938 1565998626.9260
MEM 157.906250 1565998627.0296
MEM 155.296875 1565998627.1316
MEM 155.511719 1565998627.2322
MEM 155.976562 1565998627.3336
MEM 156.265625 1565998627.4352
MEM 156.320312 1565998627.5385
MEM 156.722656 1565998627.6395
MEM 157.023438 1565998627.7397
MEM 157.308594 1565998627.8400
MEM 157.679688 1565998627.9406
MEM 157.906250 1565998628.0410
MEM 158.074219 1565998628.1453
MEM 158.578125 1565998628.2494
MEM 158.914062 1565998628.3519
MEM 158.886719 1565998628.4569
MEM 159.066406 1565998628.5591
MEM 159.304688 1565998628.6635
MEM 159.867188 1565998628.7687
MEM 160.332031 1565998628.8689
MEM 160.628906 1565998628.9740
MEM 160.800781 1565998629.0754
MEM 161.339844 1565998629.1758
MEM 161.828125 1565998629.2799
MEM 162.074219 1565998629.3822
MEM 162.347656 1565998629.4858
MEM 161.519531 1565998629.5882
MEM 161.890625 1565998629.6894
MEM 162.101562 1565998629.7946
MEM 162.582031 1565998629.8998
MEM 162.867188 1565998630.0037
MEM 163.136719 1565998630.1070
MEM 163.546875 1565998630.2090
MEM 163.707031 1565998630.3093
MEM 164.074219 1565998630.4109
MEM 164.394531 1565998630.5148
MEM 164.519531 1565998630.6194
MEM 164.964844 1565998630.7220
MEM 165.277344 1565998630.8232
MEM 165.574219 1565998630.9249
MEM 165.664062 1565998631.0264
MEM 165.949219 1565998631.1311
MEM 166.207031 1565998631.2337
MEM 166.605469 1565998631.3381
MEM 166.871094 1565998631.4421
MEM 166.980469 1565998631.5471
MEM 167.449219 1565998631.6484
MEM 167.875000 1565998631.7503
MEM 168.027344 1565998631.8549
MEM 168.523438 1565998631.9579
MEM 168.941406 1565998632.0604
MEM 169.046875 1565998632.1645
MEM 169.503906 1565998632.2657
MEM 169.933594 1565998632.3701
MEM 169.851562 1565998632.4751
MEM 170.328125 1565998632.5775
MEM 170.300781 1565998632.6798
MEM 170.546875 1565998632.7809
MEM 170.582031 1565998632.8847
MEM 170.816406 1565998632.9871
MEM 171.300781 1565998633.0915
MEM 171.746094 1565998633.1947
MEM 171.996094 1565998633.2952
MEM 172.292969 1565998633.3996
MEM 172.714844 1565998633.5008
MEM 173.082031 1565998633.6039
MEM 173.191406 1565998633.7044
MEM 173.691406 1565998633.8053
MEM 174.078125 1565998633.9059
MEM 174.238281 1565998634.0095
MEM 174.750000 1565998634.1134
MEM 175.199219 1565998634.2172
MEM 174.531250 1565998634.3217
MEM 175.050781 1565998634.4236
MEM 174.328125 1565998634.5269
MEM 174.617188 1565998634.6299
MEM 174.871094 1565998634.7331
MEM 175.351562 1565998634.8370
MEM 175.746094 1565998634.9400
MEM 175.921875 1565998635.0424
MEM 176.429688 1565998635.1467
MEM 176.750000 1565998635.2496
MEM 176.968750 1565998635.3518
MEM 177.433594 1565998635.4538
MEM 188.328125 1565998635.5578
MEM 212.242188 1565998635.6610
MEM 245.503906 1565998635.7620
MEM 275.906250 1565998635.8623
MEM 305.050781 1565998635.9639
MEM 333.679688 1565998636.0665
MEM 368.007812 1565998636.1700
MEM 395.019531 1565998636.2725
MEM 395.019531 1565998636.3774
MEM 395.828125 1565998636.4777
MEM 406.585938 1565998636.5822
MEM 417.062500 1565998636.6843
MEM 439.882812 1565998636.7861
MEM 439.882812 1565998636.8865
MEM 439.882812 1565998636.9867
MEM 439.644531 1565998637.0915
MEM 439.644531 1565998637.1955
MEM 439.644531 1565998637.3007
MEM 439.644531 1565998637.4059
MEM 439.644531 1565998637.5070
MEM 439.644531 1565998637.6108
MEM 439.644531 1565998637.7137
MEM 439.644531 1565998637.8174
MEM 439.644531 1565998637.9223
MEM 439.644531 1565998638.0253
MEM 391.984375 1565998638.1269
MEM 280.984375 1565998638.2311
MEM 272.277344 1565998638.3327
MEM 166.562500 1565998638.4344
MEM 166.722656 1565998638.5384
MEM 174.503906 1565998638.6387
MEM 174.503906 1565998638.7410
MEM 174.503906 1565998638.8454
MEM 174.503906 1565998638.9494
MEM 174.503906 1565998639.0530
MEM 174.503906 1565998639.1579
MEM 174.503906 1565998639.2581
MEM 174.503906 1565998639.3626
MEM 174.503906 1565998639.4631
MEM 174.503906 1565998639.5648
MEM 174.503906 1565998639.6686
MEM 174.503906 1565998639.7711
MEM 174.503906 1565998639.8737
MEM 174.503906 1565998639.9742
MEM 174.503906 1565998640.0770
MEM 174.503906 1565998640.1814
MEM 174.503906 1565998640.2832
MEM 174.503906 1565998640.3848
MEM 174.507812 1565998640.4868
MEM 174.507812 1565998640.5885
MEM 174.507812 1565998640.6933
MEM 174.507812 1565998640.7984
MEM 110.589844 1565998640.9006
MEM 110.628906 1565998641.0012
MEM 112.804688 1565998641.1049
MEM 112.812500 1565998641.2070
MEM 112.882812 1565998641.3117
MEM 112.953125 1565998641.4121
MEM 113.035156 1565998641.5145
MEM 113.093750 1565998641.6196
MEM 113.234375 1565998641.7203
MEM 113.285156 1565998641.8244
MEM 113.316406 1565998641.9278
MEM 113.363281 1565998642.0307
MEM 113.386719 1565998642.1312
MEM 113.417969 1565998642.2353
MEM 113.441406 1565998642.3387
MEM 113.476562 1565998642.4410
MEM 113.507812 1565998642.5455
MEM 113.539062 1565998642.6495
MEM 113.578125 1565998642.7541
MEM 113.609375 1565998642.8586
MEM 113.644531 1565998642.9623
MEM 113.679688 1565998643.0663
MEM 113.714844 1565998643.1673
MEM 111.140625 1565998643.2699
MEM 135.988281 1565998643.3738
MEM 161.199219 1565998643.4743
MEM 156.121094 1565998643.5762
MEM 179.781250 1565998643.6783
MEM 206.175781 1565998643.7803
MEM 231.144531 1565998643.8829
MEM 262.664062 1565998643.9841
MEM 280.769531 1565998644.0878
MEM 280.769531 1565998644.1891
MEM 289.632812 1565998644.2910
MEM 309.976562 1565998644.3955
MEM 309.976562 1565998644.4966
MEM 309.976562 1565998644.5999
MEM 349.359375 1565998644.7050
MEM 390.824219 1565998644.8062
MEM 407.261719 1565998644.9088
MEM 439.355469 1565998645.0095
MEM 463.957031 1565998645.1133
MEM 499.660156 1565998645.2185
MEM 499.660156 1565998645.3228
MEM 356.210938 1565998645.4250
MEM 356.210938 1565998645.5274
MEM 356.210938 1565998645.6283
MEM 356.210938 1565998645.7305
MEM 356.210938 1565998645.8327
MEM 356.210938 1565998645.9366
MEM 356.210938 1565998646.0409
MEM 419.324219 1565998646.1456
MEM 419.324219 1565998646.2468
MEM 477.015625 1565998646.3493
MEM 477.015625 1565998646.4542
MEM 402.835938 1565998646.5589
MEM 223.718750 1565998646.6603
MEM 267.855469 1565998646.7631
MEM 287.597656 1565998646.8640
MEM 312.566406 1565998646.9686
MEM 344.082031 1565998647.0699
MEM 353.960938 1565998647.1706
MEM 353.960938 1565998647.2711
MEM 353.960938 1565998647.3726
MEM 353.964844 1565998647.4743
MEM 353.964844 1565998647.5795
MEM 353.964844 1565998647.6825
MEM 371.800781 1565998647.7840
MEM 398.082031 1565998647.8861
MEM 446.609375 1565998647.9897
MEM 446.609375 1565998648.0941
MEM 508.226562 1565998648.1986
MEM 508.226562 1565998648.3039
MEM 432.109375 1565998648.4070
MEM 370.859375 1565998648.5103
MEM 370.859375 1565998648.6108
MEM 370.859375 1565998648.7152
MEM 370.859375 1565998648.8167
MEM 370.859375 1565998648.9203
MEM 370.859375 1565998649.0243
MEM 403.703125 1565998649.1276
MEM 435.546875 1565998649.2318
MEM 468.187500 1565998649.3358
MEM 494.542969 1565998649.4369
MEM 508.941406 1565998649.5421
MEM 290.484375 1565998649.6460
MEM 223.925781 1565998649.7466
MEM 224.843750 1565998649.8513
MEM 226.851562 1565998649.9545
MEM 225.367188 1565998650.0573
MEM 227.343750 1565998650.1607
MEM 229.375000 1565998650.2624
MEM 230.496094 1565998650.3634
MEM 232.457031 1565998650.4640
MEM 234.449219 1565998650.5660
MEM 236.367188 1565998650.6707
MEM 238.339844 1565998650.7743
MEM 240.125000 1565998650.8757
MEM 242.019531 1565998650.9800
MEM 243.792969 1565998651.0853
MEM 245.550781 1565998651.1886
MEM 247.343750 1565998651.2892
MEM 249.179688 1565998651.3904
MEM 248.675781 1565998651.4910
MEM 250.222656 1565998651.5950
MEM 238.457031 1565998651.6967
MEM 245.531250 1565998651.8003
MEM 251.890625 1565998651.9040
MEM 257.718750 1565998652.0060
MEM 264.203125 1565998652.1092
MEM 270.429688 1565998652.2143
MEM 272.261719 1565998652.3181
MEM 278.621094 1565998652.4220
MEM 285.437500 1565998652.5255
MEM 284.882812 1565998652.6268
MEM 286.332031 1565998652.7308
MEM 292.656250 1565998652.8348
MEM 298.710938 1565998652.9401
MEM 305.144531 1565998653.0409
MEM 297.679688 1565998653.1456
MEM 299.488281 1565998653.2505
MEM 303.777344 1565998653.3540
MEM 310.785156 1565998653.4576
MEM 317.605469 1565998653.5605
MEM 323.984375 1565998653.6618
MEM 330.296875 1565998653.7622
MEM 334.613281 1565998653.8647
MEM 335.023438 1565998653.9700
MEM 340.738281 1565998654.0722
MEM 347.328125 1565998654.1743
MEM 353.804688 1565998654.2745
MEM 359.660156 1565998654.3756
MEM 366.261719 1565998654.4786
MEM 373.039062 1565998654.5822
MEM 378.175781 1565998654.6846
MEM 378.175781 1565998654.7856
MEM 381.539062 1565998654.8869
MEM 388.203125 1565998654.9910
MEM 394.722656 1565998655.0959
MEM 387.714844 1565998655.2003
MEM 394.332031 1565998655.3041
MEM 401.273438 1565998655.4068
MEM 394.488281 1565998655.5098
MEM 401.000000 1565998655.6102
MEM 406.593750 1565998655.7152
MEM 406.593750 1565998655.8194
MEM 407.699219 1565998655.9234
MEM 413.699219 1565998656.0279
MEM 414.253906 1565998656.1318
MEM 420.890625 1565998656.2360
MEM 427.734375 1565998656.3407
MEM 434.558594 1565998656.4457
MEM 435.144531 1565998656.5501
MEM 442.300781 1565998656.6547
MEM 448.742188 1565998656.7576
MEM 455.113281 1565998656.8578
MEM 461.585938 1565998656.9590
MEM 463.769531 1565998657.0594
MEM 463.769531 1565998657.1603
MEM 465.242188 1565998657.2608
MEM 465.039062 1565998657.3610
MEM 471.871094 1565998657.4623
MEM 479.417969 1565998657.5667
MEM 484.726562 1565998657.6677
MEM 490.105469 1565998657.7692
MEM 495.800781 1565998657.8728
MEM 495.957031 1565998657.9774
MEM 501.632812 1565998658.0817
MEM 507.687500 1565998658.1820
MEM 513.578125 1565998658.2853
MEM 519.480469 1565998658.3859
MEM 525.089844 1565998658.4867
MEM 531.003906 1565998658.5915
MEM 522.582031 1565998658.6957
MEM 525.457031 1565998658.7981
MEM 525.457031 1565998658.9023
MEM 525.457031 1565998659.0037
MEM 530.707031 1565998659.1085
MEM 536.636719 1565998659.2133
MEM 542.976562 1565998659.3185
MEM 548.417969 1565998659.4192
MEM 554.429688 1565998659.5196
MEM 560.011719 1565998659.6222
MEM 563.382812 1565998659.7257
MEM 568.453125 1565998659.8262
MEM 573.914062 1565998659.9268
MEM 579.410156 1565998660.0319
MEM 584.742188 1565998660.1344
MEM 593.714844 1565998660.2383
MEM 601.941406 1565998660.3423
MEM 610.281250 1565998660.4458
MEM 618.527344 1565998660.5502
MEM 627.011719 1565998660.6529
MEM 630.566406 1565998660.7576
MEM 633.117188 1565998660.8596
MEM 633.117188 1565998660.9628
MEM 633.117188 1565998661.0677
MEM 639.417969 1565998661.1682
MEM 647.437500 1565998661.2687
MEM 655.765625 1565998661.3704
MEM 664.496094 1565998661.4747
MEM 675.953125 1565998661.5798
MEM 688.890625 1565998661.6809
MEM 704.929688 1565998661.7831
MEM 720.640625 1565998661.8836
MEM 736.808594 1565998661.9882
MEM 749.187500 1565998662.0902
MEM 760.925781 1565998662.1930
MEM 764.156250 1565998662.2959
MEM 764.156250 1565998662.3961
MEM 764.156250 1565998662.4988
MEM 764.156250 1565998662.6009
MEM 771.035156 1565998662.7053
MEM 786.589844 1565998662.8090
MEM 801.359375 1565998662.9129
MEM 806.894531 1565998663.0132
MEM 807.285156 1565998663.1164
MEM 807.496094 1565998663.2169
MEM 807.667969 1565998663.3174
MEM 807.820312 1565998663.4241
MEM 807.953125 1565998663.5243
MEM 808.140625 1565998663.6294
MEM 808.292969 1565998663.7332
MEM 808.453125 1565998663.8379
MEM 808.578125 1565998663.9403
MEM 808.769531 1565998664.0450
MEM 808.910156 1565998664.1456
MEM 809.070312 1565998664.2481
MEM 809.218750 1565998664.3520
MEM 809.355469 1565998664.4563
MEM 809.464844 1565998664.5609
MEM 809.582031 1565998664.6622
MEM 809.710938 1565998664.7662
MEM 809.824219 1565998664.8667
MEM 809.386719 1565998664.9717
MEM 804.562500 1565998665.0777
MEM 784.878906 1565998665.1797
MEM 785.015625 1565998665.2837
MEM 785.210938 1565998665.3871
MEM 785.277344 1565998665.4874
MEM 785.324219 1565998665.5877
MEM 785.398438 1565998665.6880
MEM 785.542969 1565998665.7884
MEM 785.621094 1565998665.8886
MEM 785.726562 1565998665.9910
MEM 785.789062 1565998666.0959
MEM 785.910156 1565998666.2010
MEM 786.019531 1565998666.3030
MEM 786.117188 1565998666.4032
MEM 786.191406 1565998666.5076
MEM 786.300781 1565998666.6086
MEM 786.406250 1565998666.7089
MEM 786.488281 1565998666.8093
MEM 786.597656 1565998666.9144
MEM 786.691406 1565998667.0178
MEM 786.796875 1565998667.1189
MEM 786.894531 1565998667.2201
MEM 786.968750 1565998667.3204
MEM 787.074219 1565998667.4235
MEM 787.203125 1565998667.5266
MEM 787.289062 1565998667.6268
MEM 787.628906 1565998667.7279
MEM 787.800781 1565998667.8324
MEM 787.917969 1565998667.9350
MEM 788.046875 1565998668.0352
MEM 788.136719 1565998668.1354
MEM 788.257812 1565998668.2375
MEM 788.382812 1565998668.3395
MEM 788.472656 1565998668.4401
MEM 788.550781 1565998668.5439
MEM 788.675781 1565998668.6477
MEM 788.781250 1565998668.7481
MEM 788.882812 1565998668.8490
MEM 788.980469 1565998668.9535
MEM 789.085938 1565998669.0581
MEM 789.355469 1565998669.1585
MEM 789.496094 1565998669.2629
MEM 758.839844 1565998669.3670
MEM 720.601562 1565998669.4703
MEM 712.632812 1565998669.5747
MEM 690.574219 1565998669.6770
MEM 685.789062 1565998669.7808
MEM 685.996094 1565998669.8817
MEM 686.089844 1565998669.9825
MEM 686.285156 1565998670.0861
MEM 686.683594 1565998670.1883
MEM 686.914062 1565998670.2917
MEM 687.515625 1565998670.3965
MEM 687.792969 1565998670.4994
MEM 686.683594 1565998670.6022
MEM 686.882812 1565998670.7024
MEM 687.394531 1565998670.8066
MEM 687.738281 1565998670.9084
MEM 687.910156 1565998671.0112
MEM 688.011719 1565998671.1119
MEM 688.289062 1565998671.2164
MEM 688.535156 1565998671.3200
MEM 688.718750 1565998671.4229
MEM 688.851562 1565998671.5264
MEM 689.011719 1565998671.6275
MEM 689.199219 1565998671.7314
MEM 690.140625 1565998671.8357
MEM 690.589844 1565998671.9396
MEM 690.812500 1565998672.0412
MEM 691.097656 1565998672.1460
MEM 691.332031 1565998672.2500
MEM 691.558594 1565998672.3531
MEM 691.773438 1565998672.4575
MEM 691.980469 1565998672.5604
MEM 692.085938 1565998672.6648
MEM 693.328125 1565998672.7699
MEM 693.617188 1565998672.8748
MEM 693.714844 1565998672.9791
MEM 693.812500 1565998673.0837
MEM 693.898438 1565998673.1869
MEM 694.085938 1565998673.2894
MEM 694.691406 1565998673.3914
MEM 695.117188 1565998673.4960
MEM 695.824219 1565998673.6002
MEM 696.105469 1565998673.7036
MEM 696.273438 1565998673.8055
MEM 696.550781 1565998673.9068
MEM 696.890625 1565998674.0117
MEM 697.054688 1565998674.1166
MEM 697.781250 1565998674.2211
MEM 698.179688 1565998674.3263
MEM 698.605469 1565998674.4313
MEM 698.777344 1565998674.5350
MEM 699.007812 1565998674.6376
MEM 699.097656 1565998674.7420
MEM 699.285156 1565998674.8460
MEM 699.492188 1565998674.9466
MEM 700.609375 1565998675.0512
MEM 701.003906 1565998675.1544
MEM 701.164062 1565998675.2547
MEM 701.324219 1565998675.3569
MEM 701.414062 1565998675.4594
MEM 701.554688 1565998675.5646
MEM 701.695312 1565998675.6673
MEM 701.789062 1565998675.7718
MEM 702.441406 1565998675.8752
MEM 702.527344 1565998675.9756
MEM 702.640625 1565998676.0792
MEM 702.773438 1565998676.1844
MEM 702.878906 1565998676.2875
MEM 703.007812 1565998676.3884
MEM 703.121094 1565998676.4890
MEM 703.257812 1565998676.5931
MEM 703.800781 1565998676.6960
MEM 704.390625 1565998676.7969
MEM 704.500000 1565998676.8972
MEM 704.585938 1565998676.9983
MEM 704.691406 1565998677.1035
MEM 704.816406 1565998677.2071
MEM 704.902344 1565998677.3112
MEM 705.023438 1565998677.4149
MEM 705.113281 1565998677.5190
MEM 705.207031 1565998677.6222
MEM 705.308594 1565998677.7238
MEM 705.472656 1565998677.8287
MEM 705.589844 1565998677.9320
MEM 705.816406 1565998678.0334
MEM 705.890625 1565998678.1363
MEM 706.042969 1565998678.2370
MEM 706.171875 1565998678.3382
MEM 706.277344 1565998678.4426
MEM 706.375000 1565998678.5431
MEM 706.472656 1565998678.6433
MEM 706.582031 1565998678.7461
MEM 706.664062 1565998678.8477
MEM 706.746094 1565998678.9480
MEM 706.832031 1565998679.0488
MEM 706.937500 1565998679.1519
MEM 707.042969 1565998679.2566
MEM 707.152344 1565998679.3595
MEM 707.234375 1565998679.4622
MEM 707.328125 1565998679.5653
MEM 707.414062 1565998679.6705
MEM 707.519531 1565998679.7710
MEM 707.609375 1565998679.8754
MEM 707.707031 1565998679.9769
MEM 707.835938 1565998680.0779
MEM 707.921875 1565998680.1826
MEM 708.035156 1565998680.2838
MEM 708.136719 1565998680.3874
MEM 708.238281 1565998680.4894
MEM 708.335938 1565998680.5917
MEM 708.453125 1565998680.6961
