CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py -m
MEM 0.308594 1578681371.0343
MEM 13.351562 1578681371.1377
MEM 22.644531 1578681371.2387
MEM 32.828125 1578681371.3419
MEM 38.726562 1578681371.4422
MEM 45.703125 1578681371.5451
MEM 50.109375 1578681371.6456
MEM 56.621094 1578681371.7485
MEM 62.589844 1578681371.8537
MEM 65.648438 1578681371.9577
MEM 68.488281 1578681372.0583
MEM 70.414062 1578681372.1599
MEM 75.015625 1578681372.2639
MEM 77.761719 1578681372.3642
MEM 82.878906 1578681372.4645
MEM 88.703125 1578681372.5650
MEM 93.453125 1578681372.6653
MEM 97.695312 1578681372.7680
MEM 100.945312 1578681372.8714
MEM 103.667969 1578681372.9717
MEM 137.968750 1578681373.0746
MEM 134.199219 1578681373.1752
MEM 149.578125 1578681373.2789
MEM 176.699219 1578681373.3797
MEM 153.093750 1578681373.4803
MEM 150.867188 1578681373.5831
MEM 152.597656 1578681373.6848
MEM 146.582031 1578681373.7895
MEM 146.636719 1578681373.8947
MEM 141.957031 1578681373.9954
MEM 142.214844 1578681374.1004
MEM 142.445312 1578681374.2028
MEM 142.675781 1578681374.3061
MEM 142.941406 1578681374.4098
MEM 143.175781 1578681374.5147
MEM 143.445312 1578681374.6188
MEM 143.648438 1578681374.7229
MEM 143.847656 1578681374.8243
MEM 144.113281 1578681374.9293
MEM 144.332031 1578681375.0330
MEM 143.394531 1578681375.1339
MEM 138.316406 1578681375.2359
MEM 138.546875 1578681375.3392
MEM 155.882812 1578681375.4399
MEM 150.703125 1578681375.5447
MEM 149.382812 1578681375.6498
MEM 125.281250 1578681375.7502
MEM 126.402344 1578681375.8511
MEM 126.429688 1578681375.9561
MEM 126.457031 1578681376.0582
MEM 126.492188 1578681376.1633
MEM 126.531250 1578681376.2644
MEM 132.347656 1578681376.3693
MEM 141.589844 1578681376.4697
MEM 121.562500 1578681376.5737
MEM 139.207031 1578681376.6770
MEM 120.429688 1578681376.7772
MEM 120.621094 1578681376.8775
MEM 121.222656 1578681376.9806
MEM 122.113281 1578681377.0841
MEM 123.015625 1578681377.1843
MEM 124.585938 1578681377.2873
MEM 125.941406 1578681377.3879
MEM 127.312500 1578681377.4885
MEM 128.109375 1578681377.5937
MEM 128.394531 1578681377.6948
MEM 128.785156 1578681377.7999
MEM 129.148438 1578681377.9006
MEM 129.464844 1578681378.0022
MEM 129.765625 1578681378.1057
MEM 130.136719 1578681378.2109
MEM 130.492188 1578681378.3161
MEM 130.816406 1578681378.4188
MEM 131.171875 1578681378.5236
MEM 131.488281 1578681378.6266
MEM 131.828125 1578681378.7303
MEM 132.167969 1578681378.8332
MEM 132.535156 1578681378.9366
MEM 132.851562 1578681379.0383
MEM 133.199219 1578681379.1435
MEM 133.550781 1578681379.2458
MEM 133.921875 1578681379.3509
MEM 134.261719 1578681379.4561
MEM 134.632812 1578681379.5579
MEM 134.992188 1578681379.6631
MEM 135.378906 1578681379.7683
MEM 135.742188 1578681379.8735
MEM 136.082031 1578681379.9740
MEM 136.449219 1578681380.0777
MEM 136.777344 1578681380.1829
MEM 137.121094 1578681380.2878
MEM 137.441406 1578681380.3885
MEM 137.808594 1578681380.4913
MEM 138.175781 1578681380.5919
MEM 138.535156 1578681380.6921
MEM 138.886719 1578681380.7972
MEM 139.210938 1578681380.9023
MEM 139.539062 1578681381.0034
MEM 139.859375 1578681381.1079
MEM 140.183594 1578681381.2091
MEM 140.496094 1578681381.3093
MEM 140.750000 1578681381.4101
MEM 141.027344 1578681381.5104
MEM 141.375000 1578681381.6121
MEM 141.695312 1578681381.7132
MEM 142.015625 1578681381.8163
MEM 142.117188 1578681381.9170
MEM 142.292969 1578681382.0202
MEM 142.621094 1578681382.1203
MEM 142.960938 1578681382.2210
MEM 143.289062 1578681382.3213
MEM 143.605469 1578681382.4263
MEM 143.925781 1578681382.5266
MEM 144.242188 1578681382.6301
MEM 144.558594 1578681382.7324
MEM 144.906250 1578681382.8334
MEM 145.250000 1578681382.9371
MEM 145.558594 1578681383.0414
MEM 145.835938 1578681383.1424
MEM 146.109375 1578681383.2426
MEM 146.460938 1578681383.3439
MEM 146.812500 1578681383.4490
MEM 147.179688 1578681383.5524
MEM 147.511719 1578681383.6537
MEM 147.777344 1578681383.7583
