CMDLINE /Users/parkerreid/QMHEP/bin/python3 6-TestLinearQUBO.py
MEM 0.308594 1578679984.6162
MEM 15.304688 1578679984.7202
MEM 26.503906 1578679984.8232
MEM 38.187500 1578679984.9239
MEM 48.316406 1578679985.0242
MEM 60.128906 1578679985.1290
MEM 66.308594 1578679985.2299
MEM 69.496094 1578679985.3308
MEM 70.988281 1578679985.4339
MEM 76.894531 1578679985.5341
MEM 79.941406 1578679985.6344
MEM 84.730469 1578679985.7393
MEM 89.808594 1578679985.8398
MEM 95.160156 1578679985.9401
MEM 99.886719 1578679986.0410
MEM 103.039062 1578679986.1462
MEM 120.425781 1578679986.2506
MEM 119.097656 1578679986.3515
MEM 144.351562 1578679986.4557
MEM 168.269531 1578679986.5608
MEM 152.097656 1578679986.6639
MEM 149.937500 1578679986.7664
MEM 149.984375 1578679986.8679
MEM 133.714844 1578679986.9723
MEM 124.585938 1578679987.0729
MEM 125.265625 1578679987.1772
MEM 125.507812 1578679987.2823
MEM 125.847656 1578679987.3871
MEM 126.210938 1578679987.4906
MEM 126.707031 1578679987.5957
MEM 126.984375 1578679987.7007
MEM 127.015625 1578679987.8012
MEM 127.046875 1578679987.9057
MEM 127.113281 1578679988.0090
MEM 127.214844 1578679988.1141
MEM 127.476562 1578679988.2147
MEM 127.480469 1578679988.3198
MEM 127.480469 1578679988.4230
MEM 127.480469 1578679988.5243
MEM 127.480469 1578679988.6263
MEM 127.480469 1578679988.7314
MEM 127.488281 1578679988.8318
MEM 127.488281 1578679988.9369
MEM 127.492188 1578679989.0374
MEM 127.492188 1578679989.1426
MEM 127.492188 1578679989.2432
MEM 127.511719 1578679989.3484
MEM 127.531250 1578679989.4489
MEM 127.558594 1578679989.5490
MEM 127.574219 1578679989.6520
MEM 127.582031 1578679989.7533
MEM 127.605469 1578679989.8542
MEM 127.617188 1578679989.9564
MEM 127.621094 1578679990.0579
MEM 127.644531 1578679990.1625
MEM 127.660156 1578679990.2653
MEM 127.683594 1578679990.3661
MEM 127.687500 1578679990.4692
MEM 127.703125 1578679990.5744
MEM 127.714844 1578679990.6752
MEM 127.714844 1578679990.7773
MEM 127.718750 1578679990.8808
MEM 127.726562 1578679990.9824
MEM 127.734375 1578679991.0875
MEM 127.757812 1578679991.1898
MEM 127.777344 1578679991.2950
MEM 127.808594 1578679991.4001
MEM 127.835938 1578679991.5035
MEM 127.835938 1578679991.6061
MEM 127.835938 1578679991.7070
MEM 127.835938 1578679991.8098
MEM 127.835938 1578679991.9114
MEM 127.835938 1578679992.0140
MEM 127.835938 1578679992.1146
MEM 127.839844 1578679992.2184
MEM 127.847656 1578679992.3186
MEM 127.851562 1578679992.4238
MEM 127.851562 1578679992.5289
MEM 127.851562 1578679992.6312
MEM 127.851562 1578679992.7353
MEM 127.851562 1578679992.8385
MEM 127.851562 1578679992.9437
MEM 127.851562 1578679993.0439
MEM 127.851562 1578679993.1468
MEM 127.851562 1578679993.2520
MEM 127.851562 1578679993.3571
MEM 127.851562 1578679993.4596
MEM 127.851562 1578679993.5638
MEM 127.851562 1578679993.6689
MEM 127.851562 1578679993.7741
MEM 127.851562 1578679993.8793
MEM 127.851562 1578679993.9844
MEM 127.851562 1578679994.0879
MEM 127.851562 1578679994.1930
MEM 127.851562 1578679994.2942
MEM 127.851562 1578679994.3968
MEM 128.070312 1578679994.4984
MEM 128.171875 1578679994.6036
MEM 128.171875 1578679994.7039
MEM 128.199219 1578679994.8092
MEM 128.265625 1578679994.9094
MEM 128.265625 1578679995.0147
MEM 128.265625 1578679995.1184
MEM 128.281250 1578679995.2236
MEM 128.281250 1578679995.3288
MEM 128.292969 1578679995.4301
MEM 128.441406 1578679995.5353
MEM 128.441406 1578679995.6393
MEM 128.441406 1578679995.7445
MEM 128.441406 1578679995.8482
MEM 128.421875 1578679995.9485
MEM 99.855469 1578679996.0522
